condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_dt,param_c_press,param_damping,param_rng_seed,param_psi_diffusion
psi_diffusion=0.2,0.9857308646222591,1.311384273631034,0.023857613783649763,29.993507395295286,0.21423933853782348,0.38225099044694194,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.2
psi_diffusion=0.4,0.9857308646222591,1.311384273631034,0.023857613783649763,29.993507395295286,0.21423933853782348,0.38225099044694194,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.4
psi_diffusion=0.6,0.9857308646222591,1.311384273631034,0.023857613783649763,29.993507395295286,0.21423933853782348,0.38225099044694194,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.6
psi_diffusion=0.8,0.9857308646222591,1.311384273631034,0.023857613783649763,29.993507395295286,0.21423933853782348,0.38225099044694194,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.8
psi_diffusion=1.0,0.9857308646222591,1.311384273631034,0.023857613783649763,29.993507395295286,0.21423933853782348,0.38225099044694194,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,1.0
