kind,seed,c,rho0,alpha,dt,corr2d,corr3d,corr2d_log,corr3d_log,corr2d_mask80,corr3d_mask80,corr2d_radial,corr3d_radial
seed,1,5.0,0.35,0.25,0.05,0.07954862133713002,0.4051241416475995,0.06241880674923245,0.27347838773164324,0.12392446083361273,0.35,0.21448261079969208,0.9843902857582267
seed,2,5.0,0.35,0.25,0.05,0.05772069020072351,0.5366256294960181,0.05190933648334195,0.4288053347603076,0.09206716850028954,0.4,0.5778423226459832,0.9977150413764678
seed,3,5.0,0.35,0.25,0.05,0.0832725066327495,0.48861904271457257,0.0611740629312815,0.3743239190846998,0.1239244608336127,0.5,0.30981202196060453,0.9983139310325044
seed,4,5.0,0.35,0.25,0.05,0.11376223248684449,0.38305835760537293,0.11018852378534458,0.28589549636674366,0.1318887839169435,0.35,-0.07189551512772709,0.9892518036968294
seed,5,5.0,0.35,0.25,0.05,0.0626967065310434,0.3901880311245425,0.057104972676319754,0.2826369913050935,0.06817419925029716,0.4,0.5942539555557199,0.9497606247490411
seed,6,5.0,0.35,0.25,0.05,0.13723295212284692,0.4892112063276227,0.1189323524150146,0.32999507620056123,0.15578175316693588,0.45,0.2736833057767332,0.98997257298826
seed,7,5.0,0.35,0.25,0.05,0.13588461886201714,0.4503835039101737,0.10996287104012019,0.2965098894734565,0.1478174300836051,0.4,-0.07286710213164657,0.9987368818239353
param,,6.985049695087431,0.6250552628876495,0.23144784792781287,0.07992829999243457,0.057950984198124035,0.32004459406594166,0.06233161103855083,0.19428407914023238,0.10003149158362033,0.3,-0.5811219089940998,0.9876791981850555
param,,4.7053981637649445,0.6596220180363203,0.38874517879893095,0.0588617619300494,0.06373535805597358,0.48861105389699283,0.052690438864491505,0.38182475066323307,0.10799581466695111,0.55,-0.0005234365115899004,0.9925609234264645
param,,7.1362947771091845,0.3931001400365116,0.21084874370886514,0.06398954090087347,0.05686749133788821,0.3477855474966121,0.04572393045496836,0.2603454717009306,0.08410284541695875,0.3,-0.3422018355592534,0.9808159510780999
param,,6.944738758916746,0.6244230958756122,0.34595438298394865,0.02136050289426935,0.08488755059009552,0.5183719741391515,0.07898623908778372,0.3607105099017475,0.10799581466695111,0.45,0.17300708122871258,0.9851581745292585
param,,6.223799431234607,0.24388404350008774,0.12680416598482724,0.021522705973437143,0.05562366931760904,0.5838450548426043,0.0566973655813655,0.453449973095349,0.10003149158362033,0.6,0.23207460164301524,0.9941421735757952
param,,5.800894832705591,0.5763618773416787,0.06076228076899404,0.06960886712682055,0.11316639392526467,0.5348226194085662,0.11308000704067489,0.3943886564365893,0.12392446083361269,0.6,-0.1061748624961619,0.9921615532383005
param,,3.3196756375913212,0.4170903078782906,0.12415614919077345,0.03800792163942663,0.09349677933848438,0.4019055954874519,0.07032485649939729,0.27134944286224105,0.1398531070002743,0.4,-0.2914514810989428,0.9955276517320757
param,,7.899537344395008,0.6854030145899374,0.21452410944956524,0.06948657930381671,0.09842764309121974,0.39964218549947794,0.08355638192756054,0.273056043093554,0.13985310700027428,0.3,0.33328530530671097,0.9924752757728669
param,,5.869492192187616,0.6322070313697528,0.11921685780097163,0.032519705781412875,0.10166154744524351,0.4758643433871059,0.07759533344696913,0.310727723818363,0.12392446083361273,0.45,0.6856605147321579,0.9797036576874175
param,,6.243258541981914,0.4774359414304758,0.43124154671288756,0.07061705816760264,0.056728749464833465,0.4505962410702322,0.06795448125109599,0.3544445358190409,0.05224555308363557,0.4,-0.19951146096540187,0.9854212848157046
param,,5.886688288667839,0.5309762552825374,0.0634879407108707,0.07675265540425363,0.0907083477918715,0.3647771089477605,0.09406187510344458,0.2666583833703625,0.05224555308363557,0.3,0.29334364627167614,0.9465084267455112
param,,7.399265251178226,0.2454477842699554,0.414425934289589,0.024965220998420936,0.04054959765570803,0.45249012280332856,0.04029143311808624,0.3457666260463185,0.06817419925029715,0.4,-0.18269330991977012,0.9899267279716047
param,,7.184060637891102,0.3584924401763959,0.05285559744958253,0.02553143665189632,0.07898806403575338,0.5735680359080519,0.0661606247242422,0.46731269396371816,0.13188878391694353,0.4,0.6095009370375608,0.9930636412739244
param,,5.907306000209548,0.23083179341252147,0.11860392068843542,0.06267889995584396,0.047207946152334715,0.39484318462040385,0.050741437489316664,0.2409492166734148,0.06020987616696635,0.35,0.21142729277589734,0.9753078623823356
