condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_dt,param_c_press,param_rng_seed,param_damping
damping=0.2,0.9857352346713806,1.311032888530845,0.023896309369775808,29.992099091172364,0.21422927922265975,0.38200282296201715,132,127,0.0,0.0,300,36.0,0.12,0.1,42,0.2
damping=0.4,0.9869248255202503,0.809369997331261,0.013278403809174723,19.460145060968408,0.13900103614977435,0.18585251549729026,132,127,0.0,0.0,300,36.0,0.12,0.1,42,0.4
damping=0.6,0.9873089123005168,0.45741845305731293,0.007949113153661539,12.630118754013195,0.0902151339572371,0.11579969635364977,43,81,0.0,0.0,300,36.0,0.12,0.1,42,0.6
damping=0.8,0.9874510601190095,0.2773230438146004,0.005354059379081078,8.171121166412938,0.058365151188663845,0.07191756095744649,43,0,0.0,0.0,300,36.0,0.12,0.1,42,0.8
damping=1.0,0.987551158729508,0.17126785376355055,0.003533744950357549,5.268187534584354,0.03762991096131681,0.0446389611709665,35,0,0.0,0.0,300,36.0,0.12,0.1,42,1.0
