condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_dt,param_c_press,param_damping,param_rng_seed,param_injection
injection=0.2,0.9857352346713806,1.311032888530845,0.023896309369775808,29.992099091172364,0.21422927922265975,0.38200282296201715,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.2
injection=0.4,0.9857352346713806,1.311032888530845,0.023896309369775808,29.992099091172364,0.21422927922265975,0.38200282296201715,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.4
injection=0.6,0.9857352346713806,1.311032888530845,0.023896309369775808,29.992099091172364,0.21422927922265975,0.38200282296201715,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.6
injection=0.8,0.9857352346713806,1.311032888530845,0.023896309369775808,29.992099091172364,0.21422927922265975,0.38200282296201715,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,0.8
injection=1.0,0.9857352346713806,1.311032888530845,0.023896309369775808,29.992099091172364,0.21422927922265975,0.38200282296201715,132,127,0.0,0.0,300,36.0,0.12,0.1,0.2,42,1.0
