tick,n1,n2,total_mass
1,32,32,1.6606210596438112e-14
2,32,32,0.8135951184088019
3,32,32,2.362650934522738
4,33,32,4.546010119138594
5,33,32,5.711986149043756
6,33,32,7.507627030794119
7,33,32,8.612030236613428
8,33,32,10.107734521936496
9,33,32,12.097438431271264
10,33,32,13.202532594471512
11,33,32,15.726894690067182
12,33,32,17.889322746595372
13,33,32,18.6398305200873
14,33,32,20.10803749412542
15,33,32,22.292346439001243
16,33,32,23.06372626969724
17,33,32,24.549748436690464
18,33,32,26.040356203625127
19,33,32,27.534970847512096
20,33,32,29.03306390699727
21,33,32,30.534152362421064
22,33,32,32.037794278783174
23,33,32,33.54358486717292
24,33,32,35.05115292449224
25,33,32,36.56015761515535
26,33,32,38.070285561933986
27,33,32,39.39457077799443
28,33,32,40.92710379308156
29,33,32,42.45161121436035
30,33,32,58.315239394981944
31,33,32,52.71697641306373
32,33,32,48.38340709147977
33,49,32,69.61413432201351
34,49,32,89.20860671807753
35,56,32,88.81214718575185
36,56,32,102.94115381750248
37,66,32,102.0669072661784
38,66,32,112.45962021502967
39,76,32,112.0820980353404
40,76,32,122.95579631646665
41,86,32,115.39631480662293
42,87,40,123.2891504246796
43,105,40,123.83833043949038
44,107,40,134.12952346485258
45,125,40,133.23991164090242
46,126,40,142.16618715319444
47,135,40,163.94768724255354
48,184,40,182.97015301038945
49,187,40,203.9201091476238
50,199,40,222.39678277615465
51,207,40,237.02528987103696
52,238,40,246.67208328064476
53,241,40,256.9198972310406
54,273,40,259.2539087744327
55,285,40,272.8315879462128
56,311,40,282.73628871559526
57,341,40,296.34903167952444
58,361,40,310.5151568263331
59,395,41,320.76122528697994
60,412,46,323.0322109407794
61,438,46,338.648390728508
62,474,46,348.8925881351671
63,496,50,354.97627571991814
64,525,52,369.1310438872858
65,542,68,381.687542644017
66,577,68,394.233132868666
67,603,74,407.4222165185223
68,638,81,410.6609256722824
69,670,85,423.03580470762137
70,701,96,434.9949846229343
71,740,101,448.02502876016183
72,765,102,460.5979776935598
73,812,106,466.7942255358087
74,845,106,478.6256375338658
75,889,109,490.1501819675853
76,916,117,500.25983246793
77,960,118,510.644616993872
78,988,123,521.7560442961164
79,1035,125,532.3258932313148
80,1056,126,541.4135587976882
81,1094,127,550.7179523469347
82,1129,130,560.399075254115
83,1161,131,570.16347889091
84,1177,132,579.5182722618221
85,1207,133,587.5844368868846
86,1223,131,597.1579901882955
87,1261,131,604.8732472361817
88,1286,132,614.377737711373
89,1313,132,623.2734018303037
90,1334,133,632.1551471227881
91,1360,135,641.0353405819286
92,1378,135,649.8157303181325
93,1407,135,658.3266478334034
94,1422,134,666.4505056390293
95,1436,127,674.8983301161184
96,1463,125,682.8641314047434
97,1491,119,690.2600933577586
98,1523,113,698.3941477841265
99,1543,113,706.4008994043469
100,1576,115,713.5343184395815
101,1598,114,721.2939610097782
102,1635,115,729.183914810885
103,1660,115,736.86834660937
104,1680,116,744.5695092173453
105,1702,117,752.2193540176281
106,1750,117,758.0706044296205
107,1762,119,765.519306915134
108,1817,118,772.8022513444424
109,1849,117,780.2010340814958
110,1902,116,787.7222774461735
111,1941,113,795.1655304646405
112,1998,113,801.9115372118484
113,2044,112,809.2429258399682
114,2085,111,816.3198445858491
115,2137,109,823.4317954099873
116,2172,106,830.4610175439025
117,2215,106,837.6146702120601
118,2255,104,844.7125897797598
119,2284,99,850.4906642985109
120,2336,96,857.5932347619951
121,2371,80,864.4553013834181
122,2431,76,871.318344893403
123,2466,77,878.2300738095039
124,2517,74,884.5679480205521
125,2551,75,891.4417689517334
126,2605,74,898.2146909774443
127,2637,74,904.8609953741692
128,2685,72,911.4789238587916
129,2717,73,917.8859199518412
130,2757,73,923.8620995089192
131,2806,73,929.9021572808796
132,2830,74,936.2330365580806
133,2864,75,942.3004413952152
134,2914,75,947.9836495043296
135,2957,77,954.0744808198511
136,3007,78,960.3515790274568
137,3069,80,966.6999959120324
138,3117,82,972.0294659590604
139,3184,81,978.15946402431
140,3223,83,984.5270707610644
141,3295,83,990.8361631330196
142,3333,84,997.054081603004
143,3400,84,1003.2341730431734
144,3444,84,1008.950252025541
145,3520,84,1014.7900595037312
146,3562,84,1020.7417507593476
147,3624,84,1026.7358981737298
148,3677,86,1032.5269224546528
149,3750,83,1038.0760024182991
150,3819,83,1043.9490105801349
151,3872,83,1049.7680961253486
152,3926,79,1054.107729628215
153,3999,78,1059.848245080911
154,4048,75,1065.4823386020355
155,4123,75,1071.295336735409
156,4179,73,1076.8192083961474
157,4260,68,1082.4935613996568
158,4291,66,1088.1440914476211
159,4366,65,1093.429034873365
160,4413,65,1097.7742930887405
161,4479,64,1102.7902916957662
162,4507,62,1107.1479291966448
163,4572,63,1110.2973552534788
164,4590,64,1116.0330610436924
165,4664,63,1118.5361933751078
166,4688,64,1123.6855156555876
167,4768,64,1127.5089770655857
168,4772,64,1133.3874843515864
169,4856,65,1138.8733708570307
170,4882,65,1144.2645506883912
171,4953,66,1149.6501794955066
172,4966,66,1155.075733465238
173,5051,65,1160.3725529863316
174,5057,65,1165.5640441846076
175,5149,67,1170.5227709863275
176,5182,66,1175.5459315338214
177,5268,66,1180.595213884234
178,5278,68,1185.4678864680188
179,5350,69,1185.3220296251773
180,5362,69,1190.5316175380551
181,5422,71,1195.484864519173
182,5451,71,1200.3187060808414
183,5513,62,1205.2795684201249
184,5537,64,1208.343912004868
185,5624,64,1212.9888755891764
186,5664,62,1217.2042374478697
187,5719,62,1220.0907937952877
188,5784,63,1223.7772672864742
189,5820,62,1227.8225536245318
190,5882,63,1231.4847408940896
191,5948,64,1235.982027712182
192,5994,64,1240.0588337530455
193,6042,65,1244.0388931465643
194,6067,65,1248.6303333401636
195,6109,66,1252.4612969084508
196,6117,66,1256.5219678009014
197,6145,66,1260.7726511676349
198,6188,66,1264.2704342949098
