tick,num_nodes,num_edges,total_mass,mass_variance,kinetic_energy,potential_energy,total_energy,total_momentum_scalar,total_momentum_algebraic,vorticity_global
1,64,2016,135.6,139.16214843749998,18214055097.05765,20097.61358866413,18214075194.67124,3828.642870770914,0,0
2,188,2140,258.18240000000054,0.5527387285207233,0,6665.478673642945,6665.478673642945,0,0,5.056006832514619
3,188,2140,368.9968896000004,145.94469075336886,41077572350.969666,44997.21661219273,41077617348.18628,9618.48505751576,0,0
4,344,2296,469.17318819839994,1.1455375038303277,7356238596.943366,14100.782574408186,7356252697.725941,7905.915262890595,0,1.4823076576963339e-21
5,344,2296,559.732562131352,80.10948582005895,51591726030.52667,50962.51758876753,51591776993.04426,10565.275804217616,0,1.4632729814759971e-27
6,500,2452,641.5982361667441,1.3643173096896044,13423428978.514711,20264.53719299097,13423449243.051905,4722.438634158656,0,5.317484613318663e-22
7,500,2452,715.6048054947387,58.75838697581118,78805933020.60986,58051.32357135156,78805991071.93344,19609.200551141435,0,2.6212365562906864e-11
8,748,2700,782.5067441672376,0.9695888709065188,42299181763.820786,21857.839266084145,42299203621.66005,17683.91810773973,0,2.0086187386902924e-10
9,748,2700,842.986096727185,38.407995799310925,112747501622.08644,58235.03783734973,112747559857.12428,29313.67176236932,0,2.360051959794489e-11
10,1088,3040,897.6594314413784,0.7718153268195929,8656618156.104078,22983.66905960671,8656641139.773138,16564.060162139118,0,2.6222577290004817e-11
11,1088,3040,947.0841260230044,26.399065809483417,104594399196.65216,59046.70413751083,104594458243.35628,32130.24874894849,0,2.622728237145124e-11
12,1336,3288,991.7640499247988,0.6231498031788466,13042591430.798368,23242.51643354416,13042614673.3148,19781.085505477087,0,1.3035175550805897e-10
13,1336,3288,1032.1547011320165,21.59855692336744,136490150084.03365,59879.187137298046,136490209963.22078,34520.87078123112,0,9.974705732973287e-11
14,1584,3536,1068.667849823342,0.5852032767638882,14732912562.729336,24614.523623743215,14732937177.25296,21122.344445537427,0,7.489835052131349e-11
15,1584,3536,1101.675736240304,18.326888923986743,127594558950.85023,60659.82834209658,127594619610.6786,37651.13827599379,0,8.337311688220125e-10
16,1832,3784,1131.5148655612386,0.5533947633792338,19209342600.114517,25744.651344742306,19209368344.76586,22877.6144207475,0,3.057100129493156e-09
17,1832,3784,1158.489438467354,15.97332263315975,134796161527.44,62389.920121449926,134796223917.36012,40279.11074172992,0,1.555671889369586e-08
18,2080,4032,1182.874452374498,0.5345345338435881,45019676912.91237,26819.18260380628,45019703732.09497,24902.156676795996,0,2.3704606978589793e-11
19,2080,4032,1204.918504946542,14.08133676800529,164268489674.5421,61784.03783979027,164268551458.57996,42121.99301639947,0,1.8356049118664305e-11
20,2328,4280,1224.8463284716756,0.46933321595265426,25127695423.11886,26304.498427746938,25127721727.617287,26313.258197739426,0,1.3111483947340816e-11
21,2328,4280,1242.8610809383867,12.614264881958205,141699518172.2642,62028.39418551926,141699580200.6584,43039.28435017737,0,1.4020381639291422e-09
22,2576,4528,1259.1464171682946,0.44214547780928554,46322214403.328674,26632.85583309016,46322241036.18451,27322.876675083593,0,1.3183755436555134e-11
23,2576,4528,1273.8683611201388,11.42503543021399,169308239923.30804,62312.83206319367,169308302236.1401,44565.96318716279,0,1.573380204251863e-11
24,2824,4776,1287.1769984526202,0.40905066554470504,26593125262.584377,26457.714455870915,26593151720.298832,28401.818453306183,0,1.5733766533002555e-11
25,2824,4776,1299.208006601173,10.432526881764876,146645764997.04675,62171.01189988098,146645827168.05865,45317.20279690101,0,1.1407833489684114e-09
26,3072,5024,1310.084037967453,0.387915026742813,24647297592.7258,26619.862537158115,24647324212.588337,17592.046201683002,0,9.725044343186246e-11
27,3072,5024,1319.9159703225737,9.6041157165805,148669260765.3411,62327.588692059275,148669323092.92978,35239.5850043661,0,3.4025299023950156e-08
28,3320,5272,1328.8040371716097,0.36586760699041354,25868565134.66627,26561.068054717,25868591695.734325,20024.55101563646,0,2.3076331992490455e-08
29,3320,5272,1336.8388496031346,8.894675268129998,149397883446.14944,62267.520820679994,149397945713.67026,35037.37450786693,0,3.444390725788348e-09
30,3568,5520,1344.1023200412333,0.3488805163879803,26822305270.78125,26653.26619437871,26822331924.047443,19511.84196526234,0,1.822284335895671e-12
31,3568,5520,1350.6684973172787,8.285016035192161,150402842753.8948,62336.29772280904,150402905090.19254,35964.966314803016,0,7.675043406733448e-23
32,3816,5768,1356.604321574819,0.33207611986502733,26696727664.044853,26623.81294323513,26696754287.857796,19877.578214898753,0,2.178325699195532e-08
33,3816,5768,1361.970306703637,7.752798494804547,151519076517.60718,62315.65792791691,151519138833.2651,38194.72046363063,0,1.8474851437285843e-09
34,4064,6016,1366.8211572600926,0.31848509382213946,26819073893.448338,26708.85989144696,26819100602.308228,20175.474877649584,0,1.3152380340911962e-08
35,4064,6016,1371.2063261631238,7.286269856217004,155021542435.13425,62386.09179813621,155021604821.22604,41308.65057739611,0,2.762177494585427e-08
36,4312,6264,1375.170518851461,0.3044503291944525,28876091657.65112,26663.05289166293,28876118320.70401,22568.043859890746,0,2.7666769204750893e-08
