activeCount,avgRho,condition,entropy,mass,maxFluxAbs,maxRho,param_c_press,param_damping,param_dt,param_rng_seed,rep,rhoMaxId,step,t,totalFlux,vortNorm_global,vortNorm_global_ema
1,0.3567524867809165,damping=0.05,0.009627256406287936,49.945348149328304,0.2092034335736389,49.673683070323484,0.1,0.05,0.12,42,0,1,5,0.6,1.6937832808851918,0.0,0.0
3,0.35650889345808773,damping=0.05,0.027988525238698474,49.91124508413228,0.2988353476438846,49.09722890157061,0.1,0.05,0.12,42,0,1,10,1.2000000000000002,3.1738312174376757,0.0,0.0
4,0.35627661772844543,damping=0.05,0.05132311647753468,49.87872648198236,0.3623864029503441,48.373567405576786,0.1,0.05,0.12,42,0,1,15,1.8000000000000007,4.521974044345712,0.0,0.0
4,0.3560278761786752,damping=0.05,0.0758974244624089,49.843902665014525,0.37775954061781836,47.576601728753374,0.1,0.05,0.12,42,0,1,20,2.4000000000000012,4.9580472548392045,0.0,0.0
4,0.355763990808858,damping=0.05,0.10079875761088258,49.80695871324012,0.4113692233057254,46.73327811926952,0.1,0.05,0.12,42,0,1,25,3.0000000000000018,5.40193037215262,0.0,0.0
4,0.3552148272258404,damping=0.05,0.12439939965983195,49.73007581161766,0.40662253292198763,45.86820775855727,0.1,0.05,0.12,42,0,1,30,3.6000000000000023,5.573745035357055,0.0,0.0
5,0.3543665599571723,damping=0.05,0.1468979429857032,49.61131839400412,0.42977754500875043,44.983769484897266,0.1,0.05,0.12,42,0,1,35,4.200000000000003,6.0028389445345995,0.0,0.0
5,0.3533677629541039,damping=0.05,0.1686462398670937,49.47148681357454,0.4194619952432429,44.09167587905455,0.1,0.05,0.12,42,0,1,40,4.800000000000003,6.050408557359414,0.0,0.0
5,0.3527390318291117,damping=0.05,0.19195140901657695,49.383464456075636,0.4402248469501616,43.18741622491134,0.1,0.05,0.12,42,0,1,45,5.400000000000004,6.3064141039418855,0.0,0.0
5,0.3524069546680087,damping=0.05,0.21601700929181392,49.33697365352122,0.427896672188258,42.279492861507805,0.1,0.05,0.12,42,0,1,50,6.000000000000004,6.22932116066342,0.0,0.0
9,0.35205809067091215,damping=0.05,0.23981971387121062,49.2881326939277,0.4476268084954278,41.36180010924837,0.1,0.05,0.12,42,0,1,55,6.600000000000005,6.470396807411985,0.0,0.0
14,0.35169729326267013,damping=0.05,0.26320120065289426,49.23762105677382,0.4343621223301615,40.442106088532,0.1,0.05,0.12,42,0,1,60,7.2000000000000055,6.411309754963049,0.0,0.0
20,0.35087088149203877,damping=0.05,0.2849222264953246,49.12192340888543,0.45390184184814936,39.513635337085425,0.1,0.05,0.12,42,0,1,65,7.800000000000006,6.620140417835599,0.0,0.0
23,0.34965515422958465,damping=0.05,0.3051750918279555,48.95172159214185,0.4400904940399821,38.5839421524194,0.1,0.05,0.12,42,0,1,70,8.400000000000004,6.5424019356201235,0.0,0.0
30,0.34829685906037877,damping=0.05,0.3250671904188555,48.761560268453024,0.45948490815711607,37.64603468156139,0.1,0.05,0.12,42,0,1,75,9.0,6.78067817809142,0.0,0.0
38,0.34746666488781763,damping=0.05,0.34649038067366994,48.64533308429447,0.4452188959636345,36.70747024193157,0.1,0.05,0.12,42,0,1,80,9.599999999999996,6.720842909280691,0.0,0.0
48,0.3470344410366,damping=0.05,0.3690301724841856,48.584821745124,0.4645306936670602,35.76112782601738,0.1,0.05,0.12,42,0,1,85,10.199999999999992,6.901174860121394,0.0,0.0
68,0.34658635565299317,damping=0.05,0.3911764043473173,48.52208979141904,0.44977978505891103,34.814695972355416,0.1,0.05,0.12,42,0,1,90,10.799999999999988,6.785719588328286,0.0,0.0
85,0.3461260379440083,damping=0.05,0.4131615712293227,48.45764531216116,0.4688532273514484,33.86108764774077,0.1,0.05,0.12,42,0,1,95,11.399999999999984,6.977963477946876,0.0,0.0
92,0.34510701979892267,damping=0.05,0.4334225751388381,48.314982771849174,0.45362161609758545,32.90810177243733,0.1,0.05,0.12,42,0,1,100,11.99999999999998,6.857945259576079,0.0,0.0
98,0.34364433062980804,damping=0.05,0.45259030977629044,48.110206288173124,0.4725183657135886,31.948563445739037,0.1,0.05,0.12,42,0,1,105,12.599999999999977,7.058771717496279,0.0,0.0
98,0.34206036268183876,damping=0.05,0.471349060701146,47.88845077545743,0.45690508882485165,30.99027711828117,0.1,0.05,0.12,42,0,1,110,13.199999999999973,6.958691728543766,0.0,0.0
101,0.3410825007275453,damping=0.05,0.4916318568128514,47.751550101856346,0.47562995451087936,30.02599094134137,0.1,0.05,0.12,42,0,1,115,13.799999999999969,7.16838440603173,0.0,0.0
106,0.3405518562103908,damping=0.05,0.5126723567899413,47.677259869454716,0.4596011477322346,29.063587669205546,0.1,0.05,0.12,42,0,1,120,14.399999999999965,7.023714929793185,0.0,0.0
107,0.3400041093369749,damping=0.05,0.5335254573118322,47.600575307176484,0.4779865894467014,28.095873005479714,0.1,0.05,0.12,42,0,1,125,14.999999999999961,7.188819825504801,0.0,0.0
109,0.3394448525261356,damping=0.05,0.5540198004853014,47.52227935365898,0.4614535522533846,27.130869566881266,0.1,0.05,0.12,42,0,1,130,15.599999999999957,7.048947134019925,0.0,0.0
115,0.33827096287600517,damping=0.05,0.5731952182052754,47.35793480264072,0.47945121699003235,26.161396179253995,0.1,0.05,0.12,42,0,1,135,16.199999999999957,7.2139752063209235,0.0,0.0
116,0.3366378252620303,damping=0.05,0.5912880342820747,47.12929553668424,0.46250422881611675,25.19547658470199,0.1,0.05,0.12,42,0,1,140,16.79999999999996,7.08054078050116,0.0,0.0
117,0.3348885300915908,damping=0.05,0.6091930883321448,46.88439421282271,0.4801425668300348,24.225891892151726,0.1,0.05,0.12,42,0,1,145,17.399999999999967,7.268768055297502,0.0,0.0
120,0.3337908629395042,damping=0.05,0.6280906831379008,46.73072081153059,0.46281726099748793,23.260665835052492,0.1,0.05,0.12,42,0,1,150,17.99999999999997,7.143649442152109,0.0,0.0
124,0.33316202466643874,damping=0.05,0.6476529510948504,46.64268345330142,0.4799880596100725,22.292628383859377,0.1,0.05,0.12,42,0,1,155,18.599999999999977,7.2877192056844455,0.0,0.0
127,0.33251789633768686,damping=0.05,0.6668059094724114,46.55250548727616,0.46216392176791343,21.329912040096662,0.1,0.05,0.12,42,0,1,160,19.19999999999998,7.118162162963789,0.0,0.0
127,0.3318620112052523,damping=0.05,0.6857247167233116,46.460681568735325,0.47866136105463114,20.365496444138522,0.1,0.05,0.12,42,0,1,165,19.799999999999986,7.261411577887915,0.0,0.0
127,0.33034514728105063,damping=0.05,0.7030656568856444,46.24832061934709,0.4603376210756283,19.407553924399032,0.1,0.05,0.12,42,0,1,170,20.39999999999999,7.094215229643241,0.0,0.0
127,0.32856014703435554,damping=0.05,0.7199412739509297,45.99842058480978,0.47615925952430005,18.449116856815987,0.1,0.05,0.12,42,0,1,175,20.999999999999996,7.250327912118119,0.0,0.0
127,0.3266704419565214,damping=0.05,0.7364349166104575,45.73386187391299,0.45740662842413515,17.49831507657229,0.1,0.05,0.12,42,0,1,180,21.6,7.099680795149187,0.0,0.0
127,0.32546070449127573,damping=0.05,0.7536775664136257,45.5644986287786,0.4724655619456495,16.548280323647834,0.1,0.05,0.12,42,0,1,185,22.200000000000006,7.251959735653385,0.0,0.0
128,0.3247402205060086,damping=0.05,0.7710915512389425,45.4636308708412,0.45319335787050125,15.607185577984078,0.1,0.05,0.12,42,0,1,190,22.80000000000001,7.060508954884933,0.0,0.0
128,0.324003594748565,damping=0.05,0.7881554822192149,45.3605032647991,0.46719955183954404,14.668421868248252,0.1,0.05,0.12,42,0,1,195,23.400000000000016,7.163439933768595,0.0,0.0
128,0.3232569049790921,damping=0.05,0.8047079333257574,45.25596669707289,0.4472642305008388,13.74026199651989,0.1,0.05,0.12,42,0,1,200,24.00000000000002,6.966093953098939,0.0,0.0
1,0.3567524867809165,damping=0.05,0.009627256406287936,49.945348149328304,0.2092034335736389,49.673683070323484,0.1,0.05,0.12,42,1,1,5,0.6,1.6937832808851918,0.0,0.0
3,0.35650889345808773,damping=0.05,0.027988525238698474,49.91124508413228,0.2988353476438846,49.09722890157061,0.1,0.05,0.12,42,1,1,10,1.2000000000000002,3.1738312174376757,0.0,0.0
4,0.35627661772844543,damping=0.05,0.05132311647753468,49.87872648198236,0.3623864029503441,48.373567405576786,0.1,0.05,0.12,42,1,1,15,1.8000000000000007,4.521974044345712,0.0,0.0
4,0.3560278761786752,damping=0.05,0.0758974244624089,49.843902665014525,0.37775954061781836,47.576601728753374,0.1,0.05,0.12,42,1,1,20,2.4000000000000012,4.9580472548392045,0.0,0.0
4,0.355763990808858,damping=0.05,0.10079875761088258,49.80695871324012,0.4113692233057254,46.73327811926952,0.1,0.05,0.12,42,1,1,25,3.0000000000000018,5.40193037215262,0.0,0.0
4,0.3552148272258404,damping=0.05,0.12439939965983195,49.73007581161766,0.40662253292198763,45.86820775855727,0.1,0.05,0.12,42,1,1,30,3.6000000000000023,5.573745035357055,0.0,0.0
5,0.3543665599571723,damping=0.05,0.1468979429857032,49.61131839400412,0.42977754500875043,44.983769484897266,0.1,0.05,0.12,42,1,1,35,4.200000000000003,6.0028389445345995,0.0,0.0
5,0.3533677629541039,damping=0.05,0.1686462398670937,49.47148681357454,0.4194619952432429,44.09167587905455,0.1,0.05,0.12,42,1,1,40,4.800000000000003,6.050408557359414,0.0,0.0
5,0.3527390318291117,damping=0.05,0.19195140901657695,49.383464456075636,0.4402248469501616,43.18741622491134,0.1,0.05,0.12,42,1,1,45,5.400000000000004,6.3064141039418855,0.0,0.0
5,0.3524069546680087,damping=0.05,0.21601700929181392,49.33697365352122,0.427896672188258,42.279492861507805,0.1,0.05,0.12,42,1,1,50,6.000000000000004,6.22932116066342,0.0,0.0
9,0.35205809067091215,damping=0.05,0.23981971387121062,49.2881326939277,0.4476268084954278,41.36180010924837,0.1,0.05,0.12,42,1,1,55,6.600000000000005,6.470396807411985,0.0,0.0
14,0.35169729326267013,damping=0.05,0.26320120065289426,49.23762105677382,0.4343621223301615,40.442106088532,0.1,0.05,0.12,42,1,1,60,7.2000000000000055,6.411309754963049,0.0,0.0
20,0.35087088149203877,damping=0.05,0.2849222264953246,49.12192340888543,0.45390184184814936,39.513635337085425,0.1,0.05,0.12,42,1,1,65,7.800000000000006,6.620140417835599,0.0,0.0
23,0.34965515422958465,damping=0.05,0.3051750918279555,48.95172159214185,0.4400904940399821,38.5839421524194,0.1,0.05,0.12,42,1,1,70,8.400000000000004,6.5424019356201235,0.0,0.0
30,0.34829685906037877,damping=0.05,0.3250671904188555,48.761560268453024,0.45948490815711607,37.64603468156139,0.1,0.05,0.12,42,1,1,75,9.0,6.78067817809142,0.0,0.0
38,0.34746666488781763,damping=0.05,0.34649038067366994,48.64533308429447,0.4452188959636345,36.70747024193157,0.1,0.05,0.12,42,1,1,80,9.599999999999996,6.720842909280691,0.0,0.0
48,0.3470344410366,damping=0.05,0.3690301724841856,48.584821745124,0.4645306936670602,35.76112782601738,0.1,0.05,0.12,42,1,1,85,10.199999999999992,6.901174860121394,0.0,0.0
68,0.34658635565299317,damping=0.05,0.3911764043473173,48.52208979141904,0.44977978505891103,34.814695972355416,0.1,0.05,0.12,42,1,1,90,10.799999999999988,6.785719588328286,0.0,0.0
85,0.3461260379440083,damping=0.05,0.4131615712293227,48.45764531216116,0.4688532273514484,33.86108764774077,0.1,0.05,0.12,42,1,1,95,11.399999999999984,6.977963477946876,0.0,0.0
92,0.34510701979892267,damping=0.05,0.4334225751388381,48.314982771849174,0.45362161609758545,32.90810177243733,0.1,0.05,0.12,42,1,1,100,11.99999999999998,6.857945259576079,0.0,0.0
98,0.34364433062980804,damping=0.05,0.45259030977629044,48.110206288173124,0.4725183657135886,31.948563445739037,0.1,0.05,0.12,42,1,1,105,12.599999999999977,7.058771717496279,0.0,0.0
98,0.34206036268183876,damping=0.05,0.471349060701146,47.88845077545743,0.45690508882485165,30.99027711828117,0.1,0.05,0.12,42,1,1,110,13.199999999999973,6.958691728543766,0.0,0.0
101,0.3410825007275453,damping=0.05,0.4916318568128514,47.751550101856346,0.47562995451087936,30.02599094134137,0.1,0.05,0.12,42,1,1,115,13.799999999999969,7.16838440603173,0.0,0.0
106,0.3405518562103908,damping=0.05,0.5126723567899413,47.677259869454716,0.4596011477322346,29.063587669205546,0.1,0.05,0.12,42,1,1,120,14.399999999999965,7.023714929793185,0.0,0.0
107,0.3400041093369749,damping=0.05,0.5335254573118322,47.600575307176484,0.4779865894467014,28.095873005479714,0.1,0.05,0.12,42,1,1,125,14.999999999999961,7.188819825504801,0.0,0.0
109,0.3394448525261356,damping=0.05,0.5540198004853014,47.52227935365898,0.4614535522533846,27.130869566881266,0.1,0.05,0.12,42,1,1,130,15.599999999999957,7.048947134019925,0.0,0.0
