condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_dt,param_c_press,param_rng_seed,param_damping
damping=0.05,0.8047079333257574,6.966093953098939,0.4472642305008388,45.25596669707289,0.3232569049790921,13.74026199651989,1,128,0.0,0.0,200,24.00000000000002,0.12,0.1,42,0.05
damping=0.1,0.8021822413578776,6.877574334578358,0.44343568315344495,42.86295576253079,0.30616396973236276,13.134138483324962,1,128,0.0,0.0,200,24.00000000000002,0.12,0.1,42,0.1
damping=0.2,0.7978123462509696,6.700675046441059,0.4354138374570679,38.5007309966529,0.27500522140466355,11.979741921703805,1,128,0.0,0.0,200,24.00000000000002,0.12,0.1,42,0.2
damping=0.5,0.7906727573490556,6.167372139751553,0.4086189530564078,28.143257549988274,0.20102326821420197,8.944229763699438,1,110,0.0,0.0,200,24.00000000000002,0.12,0.1,42,0.5
