activeCount,avgRho,condition,entropy,mass,maxFluxAbs,maxRho,param_c_press,param_damping,param_dt,param_rng_seed,rep,rhoMaxId,step,t,totalFlux,vortNorm_global,vortNorm_global_ema
1,0.3567524662926407,damping=0.05,0.009628066699591032,49.9453452809697,0.20921287595646268,49.673655829823375,0.1,0.05,0.12,42,0,1,5,0.6,1.6938830889637173,0.0,0.0
3,0.3565088560771419,damping=0.05,0.027990967238228234,49.911239850799866,0.29884861531350376,49.09715086846136,0.1,0.05,0.12,42,0,1,10,1.2000000000000002,3.1740410208530827,0.0,0.0
4,0.35627656665452506,damping=0.05,0.05132751874873968,49.878719331633505,0.36240279573045603,48.373425529793906,0.1,0.05,0.12,42,0,1,15,1.8000000000000007,4.5222340780410715,0.0,0.0
4,0.3560278099399571,damping=0.05,0.07590376031716724,49.843893391593994,0.3777766841795576,47.576389534155034,0.1,0.05,0.12,42,0,1,20,2.4000000000000012,4.958292871075282,0.0,0.0
4,0.3557639072683884,damping=0.05,0.10080704041521077,49.80694701757438,0.41138772309762917,46.73299159187429,0.1,0.05,0.12,42,0,1,25,3.0000000000000018,5.402207061976004,0.0,0.0
4,0.35521469190803123,damping=0.05,0.12440952084151818,49.730056867124375,0.4066406421279728,45.86784520202775,0.1,0.05,0.12,42,0,1,30,3.6000000000000023,5.5740580025813715,0.0,0.0
5,0.3543663326482139,damping=0.05,0.14690976787841106,49.61128657074994,0.4297966283775939,44.983329372451934,0.1,0.05,0.12,42,0,1,35,4.200000000000003,6.003166375506996,0.0,0.0
5,0.3533674219118214,damping=0.05,0.16865965246522777,49.471439067655,0.41948059631206464,44.091157669905776,0.1,0.05,0.12,42,0,1,40,4.800000000000003,6.050714526872848,0.0,0.0
5,0.35273862448180915,damping=0.05,0.1919665585488913,49.38340742745328,0.44024421703213185,43.186819019061765,0.1,0.05,0.12,42,0,1,45,5.400000000000004,6.306724932207516,0.0,0.0
5,0.35240652136299655,damping=0.05,0.21603397938913313,49.33691299081952,0.4279153117115273,42.27881662801605,0.1,0.05,0.12,42,0,1,50,6.000000000000004,6.229633617564549,0.0,0.0
