condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_dt,param_damping,param_rng_seed,param_c_press
c_press=0.01,0.1224500577066063,0.7748263738343705,0.05011310092686384,45.62760156704142,0.32591143976458153,42.26038070545849,1,3,0.0,0.0,200,24.00000000000002,0.12,0.2,42,0.01
c_press=0.05,0.48373493695485653,3.8608292382076272,0.23628669416256512,44.674473771168365,0.31910338407977407,28.6455697054965,1,105,0.0,0.0,200,24.00000000000002,0.12,0.2,42,0.05
c_press=0.1,0.7978638206231266,6.700688756158554,0.4354110255428152,38.499715472951635,0.27499796766394025,11.977050224286582,1,128,0.0,0.0,200,24.00000000000002,0.12,0.2,42,0.1
c_press=0.2,0.9900173215305912,0.9182501545912259,0.03435935699999526,33.11576337096453,0.23654116693546093,0.2706090931862101,118,128,0.0,0.0,200,24.00000000000002,0.12,0.2,42,0.2
c_press=0.5,0.9962894052000014,0.41025004010709526,0.05388047234136237,31.902269686010097,0.22787335490007213,0.24209983020530937,90,139,0.0,0.0,200,24.00000000000002,0.12,0.2,42,0.5
