tick,source_rho,destA_rho,destB_rho
1,10,0,0
2,11.61038816070928,0.07887832102657023,0.07887832102657023
3,13.154846840906549,0.07498029638419186,0.07199152607533404
4,14.570145720758338,0.05801315615985228,0.05990746353656243
5,15.79834229783296,0.05579818807622913,0.05767722956348935
6,16.78915405995801,0.05984191856807075,0.06287354966636025
7,17.502017057176644,0.05852558259376651,0.06158148824532962
8,17.90774659462489,0.06335538378407984,0.06526667217800486
9,17.98973205736842,0.06237401041261045,0.06443075847764887
10,17.744616950929633,0.06746227320566874,0.06923614859586681
11,17.182436316565934,0.08585384552289,0.06868707498547695
12,16.32620589550159,0.22128215612129545,0.07390032404274087
13,15.21097986177778,0.35233463078686034,0.07394725570220007
14,13.882415700248652,0.5664453351026746,0.07679408950699615
15,12.394904983786867,0.6799615926847625,0.07785198369798564
16,10.809346575899458,0.8544426188443774,0.07997842549495296
17,9.190653424100544,0.9031844449928732,0.08681204975999793
18,7.605095016213134,0.9327257815548036,0.10462912599845156
19,6.11758429975135,0.9144100478989092,0.16657967229389992
20,4.789020138222218,0.8605651544440254,0.33069809519104165
21,3.6737941044984064,0.8258607853316959,0.5822250269061642
22,2.817563683434063,0.8299833402513644,0.8594028737838596
23,2.255383049070364,0.8312936113862525,1.135621925656172
24,2.010267942631577,0.8354000076623423,1.1964489313285906
25,2.0922534053751107,0.849097352783701,1.447296582233495
26,2.4979829428233584,0.8530523562516255,1.496305430725193
27,3.2108459400419997,0.8654542908186325,1.6673910174671132
28,4.20165770216705,0.869060949835493,1.638103782181188
29,5.429854279241672,0.8847067729970475,1.468271921332326
30,6.845153159093464,0.8877305801731781,1.4719670757261791
31,8.389611839290732,0.9414111145110564,1.1928609927479803
32,10.00000000000002,0.9440601307775068,1.1966735191807432
33,11.6103881607093,1.0148114954708338,0.8847922475080221
34,13.154846840906565,1.018048759134271,0.8863913290086813
35,14.570145720758354,1.1000980943217058,0.640728399794464
36,15.798342297832978,1.1027258094110373,0.6411126659453009
37,16.789154059958022,1.0738311699918694,0.6341554759436578
38,17.50201705717665,1.0547248529827875,0.6360081699177281
39,17.907746594624896,0.917220228160406,0.6517838043635256
40,17.98973205736842,0.9113192698476362,0.6536370929997404
41,17.744616950929625,0.8327218329604424,0.6850289079400087
42,17.182436316565916,0.8362613871970515,0.6871804045866559
43,16.32620589550157,1.0080031719561835,0.7960334096078471
44,15.21097986177775,1.0125491137429732,0.7994083471374422
45,13.882415700248622,1.3782884567742484,1.0931465818170965
46,12.394904983786828,1.3857929969004708,1.099202837526091
47,10.809346575899417,1.50278246709527,1.4839431129011085
48,9.190653424100509,1.5112041386162658,1.4935543820294868
49,7.605095016213095,1.6096885712601203,1.89393023191762
50,6.117584299751309,1.6187651501352145,1.9150576199709035
51,4.78902013822219,1.9937836351548417,2.2734257372551947
52,3.6737941044983904,2.005098537863185,2.319440623328807
53,2.8175636834340487,2.3803561151075616,2.5284113923692497
54,2.255383049070357,2.3933712542838887,2.5589772838716716
