tick,source_rho,destA_rho,destB_rho
1,10,0,0
2,11.984214777998258,0.08141450533518925,0.08141450533518925
3,13.83070365270776,0.07734848307083564,0.07426337285020075
4,15.412398790251288,0.05974061228775143,0.0616261149681947
5,16.622666143493298,0.05740418768472987,0.0592744553462748
6,17.383392218703722,0.06146042477442368,0.06449708691700103
7,17.650720177315616,0.060106388238649215,0.06316864146006759
8,17.417974912450198,0.0652255600300924,0.06713980243552713
9,16.71555697976789,0.06426145166754933,0.06633319923250182
10,15.607843431935049,0.0694218981946139,0.07109625041951505
11,14.187387222987663,0.0878990027584272,0.0705860050020233
12,12.5669338830461,0.2263226808431265,0.07570818827906542
13,10.86995497441866,0.3637991379608559,0.07575240697191947
14,9.22051689904065,0.586953166774912,0.07863714322804181
15,7.73335087675568,0.7205883722055983,0.07967895997238658
16,6.504961639222435,0.7971184566605821,0.08177897959366554
17,5.606511523325552,0.00501279193776083,0.08871219513634553
18,5.079052513529751,0.01249302296147482,0.10689791337996364
19,4.931466220003557,1.0822261547287082,0.17042673951788662
20,5.141229836856625,1.1459961608060156,0.3377473170263908
21,5.657876354605591,1.1422732574834378,0.593745073800519
22,6.408781841717037,0.057387231924787896,0.8755462377416932
23,7.306712222178806,0.03926552639099683,1.1562552668428143
24,8.258414203570283,0.04221043993243584,1.2176066577685387
25,9.17345263255968,0.16753931323830826,1.4716107911127698
26,9.9724864659885,0.1686007132157901,1.5214946099195286
27,10.59423815874572,0.2776757887083573,1.7024190637157035
28,11.00054049981082,0.2789843251866231,1.6787088649514534
29,11.179028754758589,0.3681008624493271,1.51861401020279
30,11.143267530630403,0.3692698045232767,1.5222738775017424
31,10.930340876115588,0.42532983176960143,1.2422025417902496
32,10.596169064704696,0.4264732660362149,1.2465060979591758
33,10.209025015649935,0.46049153014508976,0.9288108572118972
34,9.84188846398304,0.4619376562815192,0.9312120455206132
35,9.564381909295486,0.5101908803057876,0.6688206628741094
36,9.435069533778726,0.5119838315504299,0.6701900796285948
37,9.49486538125171,0.5672831848844426,0.6541168409768
38,9.762193339863607,0.5705382853018204,0.6571295371316821
39,10.230378302735636,0.615163108081774,0.665122327986712
40,10.867540098812103,0.6175899202365821,0.6681799663109445
41,11.619028243210344,0.5830372898664357,0.6919516600447833
42,12.412197460639362,0.583669934984495,0.695074283262485
43,13.163102947750811,0.44496025245283183,0.7855871664566598
44,13.784510628532516,0.44394575397922753,0.789283773169781
45,14.194488082378822,0.273180197541783,1.0623827134373904
46,14.32477842176555,0.2711165745007251,1.0682050617187926
47,14.128168282526536,0.0922836008261659,1.4473032732209754
48,13.584141900774975,0.0921932427297011,1.45632603708121
49,12.702259156833836,0.002591076516414728,1.8561272398376525
50,11.522893765013391,0.27141195728169615,1.8749253302210471
51,10.115201020194752,0.3909995206558675,2.2405225646314415
52,8.572432008719405,0.39423480883267026,2.289275408505422
53,7.004950906421692,0.5639089322170234,2.523559225476704
54,5.5315224598304535,0.5688745827171152,2.5644977599622276
55,4.269599014845532,0.7634333312183319,2.635822069455401
56,3.325435751603858,0.7682837655263927,2.645723134769308
57,2.784889856273913,0.7725550044399411,2.619597984807695
58,2.705711321293706,0.004803113563106476,2.627883677158256
59,3.1120136623588204,0.029698244086694116,2.5999562557414775
60,3.991432145044046,0.0738165454347664,0.008666600993770701
61,5.295250649674656,0.9612861235201764,0.019350940024089797
62,6.941525687390931,0.9693764702503748,0.024224583885060828
63,8.820979302356443,1.0105754355817833,0.011096214258354746
64,10.805194080354708,1.0147106185537245,0.03464012036242099
65,12.756444118096958,0.946438821548058,0.01115180861198567
66,14.538353092633722,0.9468098123474676,0.04703235080759723
67,16.026497078788644,0.7847541166010329,0.010218835416694648
68,17.11807202455585,0.7816655076537465,0.06543723891277703
69,17.739823717313058,0.5819969615145203,0.11244170512159476
70,17.85358494603973,0.5782777039953677,0.11420950540517966
71,17.458967643821943,0.3875024949097394,0.14688889583012346
72,16.59299942654845,0.3847956544334064,0.14749919263902467
73,15.326753114753137,0.2515282971449545,0.20147085896283873
74,13.759272012455412,0.2518844353170768,0.2011496068651789
75,12.00932086618412,0.2641800683468529,0.3129095243355448
76,10.205672893654013,0.2673645552491292,0.3122829855064035
77,8.476761540809676,0.4438912550433857,0.42532784298079407
78,6.940571672811916,0.4479687445736108,0.4249420157667896
79,5.6956150633229266,0.6660130103461234,0.4772319858351016
80,4.813732319381819,0.6714814719213358,0.4773538058896719
81,4.335297155298842,0.8874189965715983,0.5433322641479169
82,4.267184139238994,0.8933029015980412,0.5501359757570173
83,4.583616819994743,0.9079698227144408,0.738465108771277
84,5.229761144073455,0.9105364350976768,0.7988551288711353
85,6.127691524535239,0.9068783690040048,1.1677998048680405
86,7.184154668959459,0.9088965046745998,1.283830090803083
87,8.2994069349421,0.8925134561483189,1.7131423280147993
88,9.376317401283856,0.8940418319485335,1.8482105179405857
89,10.328917964597862,0.8631095179813442,1.972259907904756
90,11.089644039808274,0.865470805481807,0.007236531363608023
91,11.614638788348152,0.8094722161749988,0.08124508262837579
92,11.886678194684489,0.8109136532301146,0.08947682488333977
93,11.915496870729024,0.7210222488386329,0.8309033082683154
94,11.735534956470223,0.721257501684556,0.8334308482190771
95,11.401363145059316,0.6036987256484598,0.8694861488527542
96,10.981254355748543,0.6030843021564541,0.8690205409544297
97,10.549537903908911,0.476564536060164,0.784321009964865
98,10.178480197832789,0.4753898299289629,0.7817163122954138
99,9.930475414841236,0.3625466452111052,0.607000508101963
100,9.851296879861026,0.3614240225169021,0.6032045766931521
101,9.96505810858774,0.29069914022979826,0.3999366114982962
102,10.27137103410742,0.2905367906191158,0.3954730798934617
103,10.744982545592736,0.29936239367554773,0.19862145074235388
104,11.337937926028523,0.3005279466775994,0.19636053564716044
105,11.98408225010723,0.396964852971078,0.13117655671955958
106,12.605489930888927,0.3989870160149858,0.13831098359937538
107,13.120228547767969,0.5380222230105973,0.4928402729812845
108,13.450732724147938,0.5406785914476692,0.4974268506698613
109,13.531999217821843,0.6840080713207932,0.7737985916583545
110,13.31882170662706,0.6868946349507873,0.7745008582274981
111,12.791362696831236,0.7770921593957231,0.9172033091586188
112,11.9585037986029,0.7777538317824951,0.9219139543829984
113,10.858611684248764,0.6926781028326457,1.1005193917467642
114,9.557588003332777,0.6917079756643266,1.1066052039633651
115,8.144316798187141,0.5122367048514789,1.2989525411898202
116,6.723860589239768,0.5099023777921131,1.3056768075566123
117,5.408964906611001,0.3026463170098317,1.454206799629129
118,4.310591746217234,0.29901414676082616,1.456073848721274
119,3.5283005203279494,0.10104018153884949,0.859850909219646
120,3.1413213548832344,0.10131529464665733,0.8548589401379467
121,3.2011172023562477,0.2073809451706656,0.5141983879568803
122,3.72611195089617,0.21209387853992628,0.5086188612961642
123,4.69908158497001,0.599669393549736,0.20778903921970063
124,6.067479989773377,0.6051602736680258,0.20052127254984395
125,7.7467197677456605,0.9517583407135288,0.0016292501129929191
126,9.626173382711212,0.962286021816468,0.4175804439446336
127,11.577423420453451,0.9947999477618986,0.2923051827775365
128,13.464093558022938,0.002791663290747981,0.29045065021432304
129,15.152451381171112,0.41710539592905327,0.24147398688734817
130,16.52190295985123,0.41960281410484623,0.24328428428576623
131,17.4745035231652,0.5822207059099126,0.36017179991328163
132,17.942688486037184,0.5865533650756488,0.3626224619645532
133,17.894577677411476,0.815282073941703,0.5626864821755146
134,17.336410090602488,0.816179865516075,0.5652593869239712
135,16.311909109366525,0.8171263906859197,0.7932284792936874
136,14.89863790422088,0.0015732016330287646,0.7975626277706922
137,13.201658995593402,0.6949967087557337,0.7954760286288891
138,11.345038785419444,0.6980362676387208,0.000344318538109456
139,9.46191753542302,0.8481289456414315,1.6523340350089424
140,7.683982336865876,0.8533089400712826,1.657164633927593
141,6.13122509691238,1.0709484092177006,1.6617819499838582
142,4.902835859379159,1.0772917675048972,0.003484869511267863
143,4.069976961150889,1.3157802285597384,0.001842855899216088
144,3.6710150745342744,1.325203979640859,0.03171727244910476
145,3.709571122377123,1.5354045023258027,0.4677908624742197
146,4.15550160946261,1.5435188238996345,0.46564599105197857
147,4.948670826891656,1.553145203405792,0.6448835325001729
148,6.005133971315919,1.5514739117392908,0.6452619703719261
149,7.225147400331304,0.7823961005736045,0.6456487969033233
150,8.502271703666317,0.7763360570508447,0.6449313174311825
151,9.732748899893243,0.33185290836388204,0.6441792000686547
152,10.824323845660448,0.3221418431418207,0.0001883169837193499
153,11.703742328345635,0.001584756875895155,0.07767280828025505
154,12.32228822827407,0.6934675102450438,0.07045096360261312
155,12.658907534783149,0.6190044425528405,0.06265217863663562
156,12.720690951083666,0.6210667483210586,0.05439049187828451
157,12.54072903682484,0.7243805957561147,0.4286861409964554
158,12.173592485157911,0.7292834892212366,0.42923157457098504
159,11.68890379567441,0.9698727421332072,0.4766969485780061
160,11.16363619244619,0.9772098891421848,0.4800909060963026
161,10.67388607889526,1.2670166215809735,0.4782629942733436
162,10.286906913450526,1.2764659518515842,5.551115123125783e-17
163,10.054161648585138,1.5703233380371306,2.376053617148815
164,10.006050839959496,1.5804890417244493,2.3906700193982853
165,10.148813480888029,1.8100103454763372,2.655966389612618
166,10.463892228410906,1.78370289538313,2.6642766648888565
167,10.909822715496372,0.006408933724693144,2.087915367145317
168,11.42646923324534,0.17126733614615192,2.0917361475145717
169,11.94120785012441,0.16019491054909463,1.5804876244289665
170,12.376473189537084,0.16237305793499088,1.5810820665049727
171,12.657953520204224,0.2157827644795529,1.0913671720848717
172,12.722652641922386,0.22161999118783643,1.0876732098498654
173,12.526042502683342,0.4302964797018287,0.6254390046446026
174,12.04760733860032,0.4361878041067752,0.6199899352509343
175,11.294221717838298,0.7128242350895597,1.4180017877341022e-05
176,10.30099866738681,0.7191788642786446,8.470329472543003e-21
177,9.129472792800533,1.0097761883367928,1.504632769052528e-36
178,7.863226481005241,1.0171578223034403,3.1739080932344823e-51
179,6.60130303602033,1.318795455258623,0
180,5.4499576379827035,1.3270752462876392,0.6298962080229937
181,4.5134565149413355,1.4126530378643087,0.6305737871462589
182,3.884732018937259,0.002815360409869405,0.6267554045587751
183,3.636727235945764,0.1353923043987188,0.4886507046129488
184,3.815215490893598,0.13351932835734262,4.142190889394603e-05
185,4.433761390822124,0.2343617457016786,0
186,5.471310925068715,0.2332888212187936,0.17532607131246336
187,6.872674070128089,0.35162055733478004,0.10947848185200304
