activeCount,avgRho,condition,entropy,mass,maxFluxAbs,maxRho,param_c_press,param_damping,param_dt,param_rng_seed,rep,rhoMaxId,step,t,totalFlux,vortNorm_global,vortNorm_global_ema
1,0.3555897468913161,dt=0.08,0.013802906973560217,49.78256456478426,0.23251271694971593,49.38698240095843,0.1,0.2,0.08,42,0,1,10,0.7999999999999999,2.080801432744886,0.0,0.0
4,0.35446155158491427,dt=0.08,0.04142593811567572,49.624617221887995,0.33374966502419817,48.42272742344015,0.1,0.2,0.08,42,0,1,20,1.6000000000000003,3.9952241863512623,0.0,0.0
4,0.3532514712189352,dt=0.08,0.0735420732802453,49.45520597065093,0.38137540423361566,47.28172705324818,0.1,0.2,0.08,42,0,1,30,2.400000000000001,4.923663347017818,0.0,0.0
4,0.3519569063536887,dt=0.08,0.10609010866873433,49.273966889516416,0.4049568794582643,46.06193298073063,0.1,0.2,0.08,42,0,1,40,3.2000000000000015,5.314596201038643,0.0,0.0
4,0.3499068136090623,dt=0.08,0.13558907657270536,48.98695390526872,0.4172764812872209,44.80503367636384,0.1,0.2,0.08,42,0,1,50,4.000000000000002,5.710295787293568,0.0,0.0
5,0.347547354817305,dt=0.08,0.1639945755411458,48.656629674422696,0.42522054686532673,43.528702257349515,0.1,0.2,0.08,42,0,1,60,4.8000000000000025,5.996026260945918,0.0,0.0
5,0.3456818595322834,dt=0.08,0.19448660269117932,48.395460334519676,0.43124688213288503,42.24001502527379,0.1,0.2,0.08,42,0,1,70,5.600000000000003,6.125405870696751,0.0,0.0
6,0.3440243715227985,dt=0.08,0.22545185581304336,48.163412013191795,0.43599940523979036,40.94235318807601,0.1,0.2,0.08,42,0,1,80,6.400000000000004,6.2145248683838545,0.0,0.0
11,0.3422717743421702,dt=0.08,0.25575420552033556,47.91804840790383,0.44012079989460473,39.63772043139521,0.1,0.2,0.08,42,0,1,90,7.200000000000005,6.327645316057586,0.0,0.0
15,0.33973974969663445,dt=0.08,0.2831748968056353,47.563564957528826,0.4439292204290396,38.327271482321365,0.1,0.2,0.08,42,0,1,100,8.000000000000005,6.402899178385009,0.0,0.0
