condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_c_press,param_damping,param_rng_seed,param_dt
dt=0.08,0.9884186632717433,0.6272850916117088,0.015381854507229707,27.678495947393227,0.1977035424813802,0.23930765561293985,43,127,0.0,0.0,500,39.9999999999995,0.1,0.2,42,0.08
dt=0.1,0.9905926986858732,0.19491198981915103,0.011647885109381688,22.50048271289776,0.16071773366355543,0.17715357863402362,22,127,0.0,0.0,500,50.00000000000044,0.1,0.2,42,0.1
dt=0.12,0.9920416002420316,0.08823713618283492,0.008862960570248806,18.350936574533073,0.13107811838952194,0.14242538416326658,58,127,0.0,0.0,500,59.99999999999949,0.1,0.2,42,0.12
dt=0.16,0.9941195603642637,0.03852537826686911,0.005247440881353229,12.251176775900449,0.08750840554214606,0.09356289200807291,138,0,0.0,0.0,500,79.999999999999,0.1,0.2,42,0.16
dt=0.2,0.9955632224082062,0.02320070142699574,0.0030770348341700978,8.16169004604557,0.058297786043182635,0.061967538731390756,31,0,0.0,0.0,500,100.00000000000088,0.1,0.2,42,0.2
