survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
post_mild,0.2,76,logos,76,logos,0.156671,0.991666,18.770838
post_mild,0.2,77,temporal alchemy,28,akashic practice,2.206351,0.680083,30.132716
post_mild,0.2,78,knowledge,78,knowledge,0.156535,0.991634,18.78984
post_mild,0.2,79,par,synth_9000,synth:grail,0.160011,0.993938,16.619898
post_mild,0.2,80,city,80,city,0.15252,0.991841,18.262432
post_mild,0.2,81,alchemy star,28,akashic practice,2.206351,0.680083,30.132716
post_mild,0.2,82,johannine grove,synth_9000,synth:grail,0.161989,0.993758,16.964041
post_mild,0.2,83,rose,83,rose,0.153442,0.991755,18.356546
post_mild,0.2,84,mysteries,84,mysteries,0.156779,0.991661,18.778107
post_mild,0.2,85,tehuti,85,tehuti,0.148451,0.991825,17.824945
post_mild,0.2,86,black,86,black,0.157243,0.991659,18.799945
post_mild,0.2,87,crystals,87,crystals,0.157083,0.991658,18.790322
post_mild,0.2,88,prima matra,88,prima matra,0.152482,0.991751,18.287825
post_mild,0.2,89,mystery school,synth_9000,synth:grail,0.160947,0.992863,16.719761
post_mild,0.2,90,christine hayes,synth_9000,synth:grail,0.227736,0.992482,24.730464
post_mild,0.2,91,goddess,91,goddess,0.153079,0.991835,18.194609
post_mild,0.2,92,plain,synth_9000,synth:grail,0.133286,0.992727,15.463034
post_mild,0.2,93,lotus,93,lotus,0.191148,0.990623,18.341718
post_mild,0.2,94,christos,94,christos,0.551835,0.988099,39.232371
post_mild,0.2,95,book,95,book,0.157317,0.991673,18.796651
post_mild,0.2,96,kadmon,96,kadmon,0.150126,0.991859,17.889118
post_mild,0.2,97,queen,97,queen,0.162564,0.991323,18.234648
post_mild,0.2,98,simeon,67,spirit heart,0.151822,0.991745,17.13483
post_mild,0.2,99,grid,99,grid,0.15609,0.991593,18.820892
post_mild,0.2,100,name,100,name,0.157229,0.991661,18.826771
post_mild,0.2,101,the sun,101,the sun,0.152857,0.991837,18.285824
post_mild,0.2,102,presence,102,presence,0.156605,0.991652,18.778131
post_mild,0.2,103,sea,103,sea,0.152379,0.991682,18.349757
post_mild,0.2,104,church,synth_9000,synth:grail,0.143285,0.992924,15.485964
post_mild,0.2,105,egyptian,105,egyptian,0.152741,0.991807,18.299072
post_mild,0.2,106,free information,106,free information,0.199895,0.987909,20.096418
post_mild,0.2,107,holorian,synth_9000,synth:grail,0.136146,0.992627,15.477971
post_mild,0.2,108,space,108,space,0.156605,0.991652,18.778131
post_mild,0.2,109,high,109,high,0.156605,0.991652,18.778131
post_mild,0.2,110,forms,110,forms,0.156888,0.99165,18.787712
post_mild,0.2,111,mar,111,mar,0.151737,0.991797,18.170748
post_mild,0.2,112,rite,112,rite,2.570222,0.626437,28.9007
post_mild,0.2,113,practice,113,practice,2.570222,0.626437,28.9007
post_mild,0.2,114,lord,synth_9000,synth:grail,0.141749,0.992283,16.844674
post_mild,0.2,115,please support,115,please support,0.199895,0.987909,20.096418
post_mild,0.2,116,lady,116,lady,0.144301,0.992078,17.205321
post_mild,0.2,117,gem,117,gem,0.157303,0.991635,18.831076
post_mild,0.2,118,mazur,synth_9000,synth:grail,0.149554,0.992526,15.793916
post_mild,0.2,119,kyi,119,kyi,0.211868,0.988972,19.169434
post_mild,0.2,120,sirius,120,sirius,0.146453,0.992062,17.460591
post_mild,0.2,121,valley,121,valley,0.151849,0.991748,18.258223
post_mild,0.2,122,lords,122,lords,0.152281,0.991861,18.192807
post_mild,0.2,123,journey,123,journey,0.157649,0.991586,18.925796
post_mild,0.2,124,dragon,124,dragon,0.156929,0.991643,18.808553
post_mild,0.2,125,individual,125,individual,0.156963,0.991657,18.772628
post_mild,0.2,126,melchizedek,synth_9000,synth:grail,0.143811,0.992777,15.332242
post_mild,0.2,127,age,127,age,0.153118,0.991843,18.271026
post_mild,0.2,128,stone,128,stone,0.144498,0.99143,17.513756
post_mild,0.2,129,dweller crystal,31,thothhorra,0.146194,0.991566,16.17815
post_mild,0.2,130,level,130,level,0.156605,0.991652,18.778131
post_mild,0.2,131,non profitset,131,non profitset,0.199895,0.987909,20.096418
post_mild,0.2,132,magdalene,synth_9000,synth:grail,0.180967,0.991969,17.525617
post_mild,0.2,133,stars,133,stars,0.156808,0.991636,18.821236
post_mild,0.2,134,island,134,island,0.172452,0.991316,18.337598
post_mild,0.2,135,moon,135,moon,0.156616,0.99164,18.77552
post_mild,0.2,136,maia christianne,136,maia christianne,0.546883,0.987221,34.687879
post_mild,0.2,137,state,137,state,0.156888,0.99165,18.787712
post_mild,0.2,138,thothhorra khandr,138,thothhorra khandr,0.946039,0.980521,40.081147
post_mild,0.2,139,sanctuary,139,sanctuary,0.197237,0.991137,18.879587
post_mild,0.2,140,dynamic,140,dynamic,0.15522,0.991639,18.667938
post_mild,5.0,1,grail,synth_9000,synth:grail,0.000609,0.533587,0.001049
post_mild,5.0,2,christ,synth_9000,synth:grail,3.8e-05,0.485861,6.3e-05
post_mild,5.0,3,isis,synth_9000,synth:grail,1.7e-05,0.486556,2.8e-05
post_mild,5.0,4,osiris,synth_9000,synth:grail,1.8e-05,0.486612,3e-05
post_mild,5.0,5,earth star,synth_9000,synth:grail,1.3e-05,0.483378,2.2e-05
post_mild,5.0,6,temple doors,synth_9000,synth:grail,2.7e-05,0.484897,4.4e-05
post_mild,5.0,7,numis'om,synth_9000,synth:grail,1.4e-05,0.457229,2.3e-05
post_mild,5.0,8,ark,synth_9000,synth:grail,1.9e-05,0.486629,3.1e-05
post_mild,5.0,9,metatron,synth_9000,synth:grail,3e-05,0.485286,5e-05
post_mild,5.0,10,venus,synth_9000,synth:grail,3.9e-05,0.485873,6.4e-05
post_mild,5.0,11,orion,synth_9000,synth:grail,1.8e-05,0.483772,2.9e-05
post_mild,5.0,12,eye,synth_9000,synth:grail,1.7e-05,0.486438,2.8e-05
post_mild,5.0,13,loch,synth_9000,synth:grail,9e-06,0.466747,1.4e-05
post_mild,5.0,14,maia nartoomid,synth_9000,synth:grail,1e-06,0.326961,1e-06
post_mild,5.0,15,god,synth_9000,synth:grail,1.8e-05,0.48661,3.1e-05
post_mild,5.0,16,doors,synth_9000,synth:grail,1.8e-05,0.486552,3.1e-05
post_mild,5.0,17,star lineages,synth_9000,synth:grail,1e-06,0.330855,1e-06
post_mild,5.0,18,adam kadmon,synth_9000,synth:grail,1.7e-05,0.48651,2.9e-05
post_mild,5.0,19,new earth star,synth_9000,synth:grail,2.6e-05,0.485746,4.3e-05
post_mild,5.0,20,horus,synth_9000,synth:grail,1.5e-05,0.486377,2.4e-05
post_mild,5.0,21,skull,synth_9000,synth:grail,1e-05,0.483388,1.6e-05
post_mild,5.0,22,christic,synth_9000,synth:grail,3.6e-05,0.485591,6e-05
post_mild,5.0,23,light codes,synth_9000,synth:grail,1.9e-05,0.484905,3.2e-05
post_mild,5.0,24,inner earth,synth_9000,synth:grail,1.9e-05,0.486633,3.1e-05
post_mild,5.0,25,blue star,synth_9000,synth:grail,1.8e-05,0.48662,3e-05
post_mild,5.0,26,dna,synth_9000,synth:grail,1.8e-05,0.486562,2.9e-05
post_mild,5.0,27,activation rite,synth_9000,synth:grail,1e-06,0.428314,1e-06
post_mild,5.0,28,akashic practice,synth_9000,synth:grail,2e-06,0.409126,3e-06
post_mild,5.0,29,pyramid,synth_9000,synth:grail,1.8e-05,0.486517,3e-05
post_mild,5.0,30,templar,synth_9000,synth:grail,1e-06,0.326961,1e-06
post_mild,5.0,31,thothhorra,synth_9000,synth:grail,1.4e-05,0.456319,2.3e-05
post_mild,5.0,32,great pyramid,synth_9000,synth:grail,1.5e-05,0.486377,2.5e-05
post_mild,5.0,33,johannine,synth_9000,synth:grail,1e-05,0.4862,1.7e-05
post_mild,5.0,34,crystal skull,synth_9000,synth:grail,8e-06,0.480487,1.3e-05
