survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
baseline,0.2,79,par,53,lion,0.272755,0.989872,34.148816
baseline,0.2,80,city,80,city,8.864075,0.855582,37.742804
baseline,0.2,81,alchemy star,81,alchemy star,6.53596,0.54626,37.2039
baseline,0.2,82,johannine grove,53,lion,0.275554,0.989657,34.900687
baseline,0.2,83,rose,83,rose,9.822242,0.834404,37.652649
baseline,0.2,84,mysteries,84,mysteries,12.292509,0.793762,38.518406
baseline,0.2,85,tehuti,85,tehuti,6.658738,0.887796,36.467129
baseline,0.2,86,black,86,black,12.359619,0.790929,38.53357
baseline,0.2,87,crystals,87,crystals,12.367948,0.7919,38.539859
baseline,0.2,88,prima matra,88,prima matra,10.011388,0.823246,37.57166
baseline,0.2,89,mystery school,53,lion,0.273633,0.987898,34.355287
baseline,0.2,90,christine hayes,90,christine hayes,0.435963,0.986213,51.162181
baseline,0.2,91,goddess,91,goddess,9.037367,0.848486,37.838955
baseline,0.2,92,plain,92,plain,0.292214,0.986406,31.748454
baseline,0.2,93,lotus,93,lotus,10.718213,0.792147,37.844509
baseline,0.2,94,christos,94,christos,24.228483,0.663218,52.655265
baseline,0.2,95,book,95,book,12.371634,0.790697,38.537778
baseline,0.2,96,kadmon,96,kadmon,7.026439,0.871649,36.838204
baseline,0.2,97,queen,97,queen,9.928774,0.821584,38.099815
baseline,0.2,98,simeon,98,simeon,1.620256,0.946387,33.392944
baseline,0.2,99,grid,99,grid,12.884381,0.779193,38.603668
baseline,0.2,100,name,100,name,12.682809,0.782885,38.633733
baseline,0.2,101,the sun,101,the sun,9.493074,0.83968,37.91909
baseline,0.2,102,presence,102,presence,11.930194,0.800382,38.471981
baseline,0.2,103,sea,103,sea,9.537572,0.841986,37.547003
baseline,0.2,104,church,35,mother,0.262831,0.987646,31.740577
baseline,0.2,105,egyptian,105,egyptian,9.744888,0.831285,37.990953
baseline,0.2,106,free information,106,free information,15.92033,0.656747,39.750991
baseline,0.2,107,holorian,8,ark,0.275266,0.986678,31.786521
