planName,runId,basinId,replicate,sweepClass,sweepName,tick,tSec,dt,pressC,damping,includeBackgroundEdges,injectAmount,preSteps,preDt,strictStepParams,beliefBias,didStep,globalBias,conductanceBase,conductanceGamma,conductanceMin,conductanceMax,psiDiffusion,psiRelaxBase,psiGlobalNudge,psiClamp,phaseOmega,phaseSurfaceTension,phaseDeepViscosity,semanticDecayRate,semanticMinMass,semanticReinforceScale,mhdBGamma,mhdBMax,jeansJcrit,vortNormGlobal,vortNormGlobalEMA,beliefGammaMax,dtCap,capLawEnabled,capLawAlpha,nodeCount,edgeCount,entropy,rhoSum,rhoMax,rhoMaxId,rhoConc,meanP,meanAbsP,pSum,pMax,pMaxId,psiSum,psiMean,psiMeanAbs,psiMax,psiMaxId,psiMin,psiMinId,psi_biasSum,psi_biasMean,psi_biasMeanAbs,psi_biasMax,psi_biasMaxId,psi_biasMin,psi_biasMinId,semanticMassSum,semanticMassMean,semanticMassMeanAbs,semanticMassMax,semanticMassMaxId,semanticMassMin,semanticMassMinId,semanticMass0Sum,semanticMass0Mean,semanticMass0MeanAbs,semanticMass0Max,semanticMass0MaxId,semanticMass0Min,semanticMass0MinId,maxAbsFlux,sumAbsFlux,basinA,basinB,basinA_rho,basinB_rho,basinA_p,basinB_p,basinWinnerId,basinMarginRho
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,0,0.262,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.0068316055128109995,0.0013663211025622,1.25,0,1,0.8,140,845,0.009729292679828028,27.243457068144416,27.12,90,0.9954683773121887,0.0015145224197702126,0.0015145224197702126,0.21203313876782978,0.20675261643862147,90,27.382927360000018,0.1955923382857144,0.2529226514285714,1,90,-1,79,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.035211291578557596,2.2761258876181754,82,90,0.0011902441085190499,27.12,0.000006006435979268808,0.20675261643862147,90,27.118809755891483
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,1,0.515,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.007330867645382999,0.00255923041112636,1.25,0,1,0.8,140,845,0.021545261385133147,26.946256799994682,26.6513664,90,0.9890563501200382,0.0015498876172201888,0.0015498876172201888,0.21698426641082644,0.20441464339499751,90,2.3497341633021898,0.0167838154521585,0.12408111855763442,1,79,-1,90,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,83732.92972780661,598.0923551986186,598.0923551986186,3939.520382101587,82,411.1650371430341,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.04458757457015469,2.94817190995326,82,90,0.0035316318342903164,26.6513664,0.000017929239645625905,0.20441464339499751,90,26.647834768165712
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,2,0.761,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.010252896281350907,0.0040979635851712696,1.25,0,1,0.8,140,845,0.038509764290641894,26.751843728746277,26.190830788608,90,0.9790289990541684,0.001606818324866058,0.001606818324866058,0.22495456548124812,0.20090003949162233,90,21.282974155085228,0.15202124396489447,0.21842157794359468,1,90,-1,79,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,83574.33783419819,596.9595559585584,596.9595559585584,3939.520382101587,82,408.70543311107946,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.06997326857695108,4.611176673992654,82,90,0.006760437352906125,26.190830788608,0.000034321089351860545,0.20090003949162233,90,26.184070351255095
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,3,1.003,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.008765315711858438,0.005031434010508703,1.25,0,1,0.8,140,845,0.0555657584777975,26.581333809592927,25.738253232580856,90,0.9682829844788371,0.0016691251060429856,0.0016691251060429856,0.23367751484601798,0.19744556613368072,90,-2.331034587578992,-0.016650247054135658,0.13845108655840632,1,79,-1,90,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,83416.69464299786,595.8335331642704,595.8335331642704,3939.520382101587,82,406.26054251885705,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.07436728397421989,4.9787279904238195,82,90,0.010875305389021178,25.738253232580856,0.00005521124057355945,0.19744556613368072,90,25.727377927191835
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,4,1.254,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.017545607391708264,0.007534268686748615,1.25,0,1,0.8,140,845,0.07596903148038076,26.49223161646233,25.29349621672186,90,0.9547514374366418,0.0017560227183372659,0.0017560227183372659,0.2458431805672172,0.1940502046833728,90,17.798689595262598,0.12713349710901856,0.20615628467628994,1,90,-1,79,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,83253.80960760676,594.6700686257626,594.6700686257626,3939.520382101587,82,403.8302773500415,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.09505943817423405,6.326726601653833,82,90,0.015682565492370574,25.29349621672186,0.00007961646473113768,0.1940502046833728,90,25.27781365122949
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,5,1.506,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.01053883614436809,0.008135182178272509,1.25,0,1,0.8,140,845,0.09564244780693454,26.411207752148286,24.856424602096908,90,0.9411316905821957,0.0018435774528968124,0.0018435774528968124,0.2581008434055537,0.190712953415558,90,-5.400334890537879,-0.03857382064669913,0.1580531360851383,1,79,-1,90,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,83081.37704103875,593.438407435991,593.438407435991,3939.520382101587,82,401.4145501148243,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.09570747636907641,6.47554073208349,82,90,0.02132551067413392,24.856424602096908,0.00010826420927638454,0.190712953415558,90,24.835099091422773
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,6,1.758,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.01663873248622796,0.0098358922398636,1.25,0,1,0.8,140,845,0.11951883933692428,25.954438744007472,23.982481274101378,90,0.9240223420218866,0.0019280115393489894,0.0019280115393489894,0.2699216155088585,0.18403830680709293,90,16.108863820306883,0.11506331300219202,0.1994243708047511,1,90,-1,79,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,82893.53507113222,592.0966790795159,592.0966790795159,3939.520382101587,82,399.01327384676404,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.11356470857890413,7.644125563492992,82,90,0.02752298421276638,23.982481274101378,0.00013972710076656916,0.18403830680709293,90,23.954958289888612
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,7,2.01,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.010873654018500817,0.010043444595591044,1.25,0,1,0.8,140,845,0.14278400713603312,25.50578803961426,23.127353597852963,90,0.9067492273492105,0.0020102316845993164,0.0020102316845993164,0.2814324358439043,0.1775052058476276,90,-7.058050689466805,-0.05041464778190575,0.16526539057859396,1,79,-1,90,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,82689.72309317361,590.6408792369543,590.6408792369543,3939.520382101587,82,396.62636209965575,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.11062192426841239,7.636564274862118,82,90,0.03455223415344368,23.127353597852963,0.0001754126354484507,0.1775052058476276,90,23.092801363699518
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,8,2.251,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.013290519405194523,0.010692859557511739,1.25,0,1,0.8,140,845,0.16838715141654045,25.064850650516114,22.235518204394424,90,0.8871195170650885,0.002106160976089596,0.002106160976089596,0.2948625366525434,0.17068938691280477,90,14.879376297083493,0.10628125926488209,0.19270330983845718,1,90,-1,79,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,82478.59816046827,589.1328440033449,589.1328440033449,3939.520382101587,82,394.25372894441875,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.12690807881190166,8.54471844512052,82,90,0.04199311047244013,22.235518204394424,0.0002131878126730851,0.17068938691280477,90,22.193525093921984
smoke_plan_v1,smoke_plan_v1__2026-01-27T10-35-02-884Z__r0001,90,1,,,9,2.504,0.12,20,8,0,30,1,0.12,1,,1,0,1,0.75,0.1,3,0.6,0.12,0,1,0.15,1.2,0.8,0.05,0.25,1,0.35,4,18,0.01529447650773543,0.011613182947556477,1.25,0,1,0.8,140,845,0.19300104531400317,24.631571452426837,21.372309836400497,90,0.8676795095139892,0.002197049744731323,0.002197049744731323,0.30758696426238524,0.1640901360927574,90,-8.025669261008472,-0.05732620900720337,0.16991431632941065,1,79,-1,90,17,0.12142857142857143,0.1357142857142857,1,2,-1,23,82247.55302565482,587.4825216118202,587.4825216118202,3939.520382101587,82,391.8952889660032,8,84021.83212621135,600.1559437586525,600.1559437586525,3963.2285577967978,82,413.6394431607318,1,0.12081973658577655,8.394380502406005,82,90,0.0502826274360185,21.372309836400497,0.00025527120901609366,0.1640901360927574,90,21.322027208964478
