Step | S_RX0 rho / p | P_Bus0 rho / p | Val0 Bridge (S9) | Val0 Hub (S0) | Val0 Spoke (S1)
-----------------------------------------------------------------------------------------
  25 | 293.8/5.51  |  14.2/5.45  |  15.314/5.58 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  26 | 293.7/5.51  |  14.3/5.45  |  15.331/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  27 | 293.8/5.51  |  14.4/5.47  |  15.345/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  28 | 293.9/5.51  |  14.7/5.50  |  15.355/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  29 | 294.0/5.51  |  15.0/5.54  |  15.360/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  30 | 294.1/5.51  |  15.2/5.58  |  15.362/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  31 | 294.2/5.51  |  15.5/5.60  |  15.364/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  32 | 294.3/5.51  |  15.6/5.62  |  15.365/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  33 | 294.4/5.51  |  15.6/5.62  |  15.364/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  34 | 294.4/5.51  |  15.6/5.62  |  15.354/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  35 | 294.4/5.51  |  15.4/5.59  |  15.338/5.59 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  36 | 294.4/5.51  |  15.2/5.57  |  15.321/5.58 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  37 | 294.4/5.51  |  15.0/5.54  |  15.305/5.58 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  38 | 294.4/5.51  |  14.8/5.51  |  15.289/5.58 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  39 | 294.5/5.51  |  14.6/5.50  |  15.272/5.58 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  40 | 294.6/5.51  |  14.5/5.49  |  15.252/5.58 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  41 | 294.7/5.51  |  14.6/5.49  |  15.229/5.57 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  42 | 294.8/5.51  |  14.6/5.50  |  15.206/5.57 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  43 | 295.0/5.51  |  14.7/5.51  |  15.185/5.57 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  44 | 295.1/5.51  |  14.8/5.52  |  15.165/5.57 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  45 | 295.2/5.51  |  14.9/5.53  |  15.146/5.56 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  46 | 295.2/5.52  |  14.9/5.54  |  15.126/5.56 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  47 | 295.2/5.52  |  14.9/5.54  |  15.105/5.56 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  48 | 295.2/5.51  |  14.9/5.53  |  15.086/5.56 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  49 | 295.1/5.51  |  14.8/5.52  |  15.069/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  50 | 295.0/5.51  |  14.8/5.51  |  15.052/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  51 | 294.9/5.51  |  14.7/5.51  |  15.037/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  52 | 294.8/5.51  |  14.7/5.50  |  15.023/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  53 | 294.8/5.51  |  14.7/5.51  |  15.010/5.55 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  54 | 294.8/5.51  |  14.7/5.51  |  14.998/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  55 | 294.7/5.51  |  14.8/5.52  |  14.987/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  56 | 294.7/5.51  |  14.9/5.53  |  14.977/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  57 | 294.8/5.51  |  15.0/5.54  |  14.968/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
