schema,runId,runIndex,repIndex,wantId,pressCUsed,baseDampUsed,busThreshUsed,ampB,ampD,ampSum,tick,tMs,lateByMs,basin,sumAbsFlux,meanAbsP,maxAbsEdgeFlux,maxEdgeIndex,maxEdgeFrom,maxEdgeTo,maxEdgeFlux,concentration,flux_114_89,flux_114_79,flux_136_89,flux_136_79
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,16,3200,0.0,90,580.683331,2.955627,5.298042,181,90,128,5.298042,0.009124,0.323856,0.329763,-0.048274,-0.041261
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,17,3400,0.0,90,574.959185,2.921026,5.242075,181,90,128,5.242075,0.009117,0.289037,0.295314,-0.106498,-0.099062
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,18,3600,0.0,90,569.036760,2.889827,5.136940,181,90,128,5.136940,0.009027,0.257000,0.263327,-0.179839,-0.172357
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,19,3800,0.0,90,556.146005,2.857500,4.979599,181,90,128,4.979599,0.008954,0.228153,0.234210,-0.265783,-0.258627
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,20,4000,0.0,90,533.184924,2.821523,4.764788,181,90,128,4.764788,0.008936,0.202878,0.208394,-0.358869,-0.352352
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,21,4200,0.0,90,505.672281,2.783568,4.484763,181,90,128,4.484763,0.008869,0.181624,0.186421,-0.450951,-0.445277
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,22,4400,0.0,90,474.372052,2.743887,4.129365,181,90,128,4.129365,0.008705,0.164841,0.168871,-0.532785,-0.528009
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,23,4600,0.0,90,438.001403,2.700909,3.685998,181,90,128,3.685998,0.008415,0.152817,0.156164,-0.596235,-0.592257
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,24,4800,0.0,90,394.257993,2.652043,3.149328,511,82,23,3.149328,0.007988,0.145496,0.148363,-0.636000,-0.632582
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,25,5000,0.0,90,342.725478,2.595639,3.074672,511,82,23,3.074672,0.008971,0.142369,0.145033,-0.650137,-0.646953
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,26,5200,0.0,90,283.954630,2.532106,2.974179,511,82,23,2.974179,0.010474,0.142458,0.145220,-0.639450,-0.636148
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,27,5400,0.0,82,219.736644,2.461078,2.937670,511,82,23,2.937670,0.013369,0.144377,0.147498,-0.606352,-0.602622
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,28,5600,0.0,82,213.190016,2.382039,2.977443,511,82,23,2.977443,0.013966,0.146418,0.150069,-0.554070,-0.549713
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,29,5800,0.0,82,233.793323,2.295765,3.052007,511,82,23,3.052007,0.013054,0.146708,0.150933,-0.486506,-0.481472
