schema,runId,runIndex,repIndex,capLawHash,pressCUsed,dampUsed,tick,tMs,lateByMs,basin,max1_from,max1_to,max1_absFlux,max2_from,max2_to,max2_absFlux,flux_114_89,flux_114_79,flux_136_89,flux_136_79,flux_89_79,handshake_pending,handshake_applied_tick
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,22,4400,0.0,82,114,89,0.023492,114,79,0.023491,0.023492,0.023491,0.019326,0.019326,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,23,4600,0.0,82,114,89,0.020999,104,114,0.020999,0.020999,0.020999,0.017261,0.017261,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,24,4800,0.0,82,114,89,0.018749,104,114,0.018748,0.018749,0.018748,0.015401,0.015401,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,25,5000,0.0,82,114,89,0.016722,104,114,0.016722,0.016722,0.016721,0.013730,0.013730,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,26,5200,0.0,82,114,89,0.014901,104,114,0.014901,0.014901,0.014900,0.012231,0.012230,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,27,5400,0.0,82,114,89,0.013267,104,114,0.013267,0.013267,0.013267,0.010888,0.010888,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,28,5600,0.0,82,114,89,0.011804,104,114,0.011804,0.011804,0.011804,0.009687,0.009687,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,29,5800,0.0,82,104,114,0.010496,114,89,0.010496,0.010496,0.010496,0.008614,0.008614,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,30,6000,0.0,82,104,114,0.009328,114,89,0.009328,0.009328,0.009328,0.007656,0.007656,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,31,6200,0.0,82,104,114,0.008286,114,89,0.008286,0.008286,0.008286,0.006803,0.006802,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,32,6400,0.0,82,104,114,0.007357,114,89,0.007357,0.007357,0.007357,0.006043,0.006043,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,33,6600,0.0,82,104,114,0.006530,114,89,0.006530,0.006530,0.006529,0.005367,0.005367,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,34,6800,0.0,82,104,114,0.005794,114,89,0.005794,0.005794,0.005793,0.004766,0.004766,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,35,7000,0.0,82,104,114,0.005139,114,89,0.005139,0.005139,0.005139,0.004232,0.004231,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,36,7200,0.0,82,104,114,0.004557,114,89,0.004557,0.004557,0.004557,0.003757,0.003756,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,37,7400,0.0,82,104,114,0.004042,114,89,0.004042,0.004042,0.004042,0.003334,0.003334,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,38,7600,0.0,82,104,114,0.003585,114,89,0.003584,0.003584,0.003584,0.002960,0.002959,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,39,7800,0.0,82,104,114,0.003179,114,89,0.003179,0.003179,0.003179,0.002627,0.002626,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,40,8000,0.0,82,104,114,0.002819,114,89,0.002819,0.002819,0.002819,0.002331,0.002331,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,41,8200,0.0,82,104,114,0.002500,114,89,0.002500,0.002500,0.002500,0.002068,0.002068,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,42,8400,0.0,82,104,114,0.002217,114,89,0.002217,0.002217,0.002217,0.001835,0.001835,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,43,8600,0.0,82,104,114,0.001966,114,89,0.001966,0.001966,0.001966,0.001628,0.001628,-0.000000,1,3
