condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_dt,param_c_press,param_rng_seed,param_damping
damping=0.05,0.9854563495417393,2.355241180640586,0.06768070722105697,41.52299877229797,0.2965928483735569,0.6368663646175284,132,128,0.0,0.0,300,36.0,0.12,0.1,42,0.05
damping=0.1,0.9852570647166209,1.8342448158528584,0.029122236146467,37.26497481650449,0.26617839154646067,0.543249615198379,132,128,0.0,0.0,300,36.0,0.12,0.1,42,0.1
damping=0.15,0.9854020710604794,1.5001326919880873,0.02091126139946529,33.433670324021854,0.23881193088587038,0.4574961655752752,132,127,0.0,0.0,300,36.0,0.12,0.1,42,0.15
damping=0.2,0.9857308646222591,1.311384273631034,0.023857613783649763,29.993507395295286,0.21423933853782348,0.38225099044694194,132,127,0.0,0.0,300,36.0,0.12,0.1,42,0.2
damping=0.25,0.9861271464687661,1.177877522639314,0.02466344928923552,26.913100331457528,0.19223643093898235,0.318210508562824,132,127,0.0,0.0,300,36.0,0.12,0.1,42,0.25
damping=0.3,0.9864640156378082,1.0474833747523546,0.022015936357525134,24.152904028787617,0.17252074306276868,0.26484841473085113,132,127,0.0,0.0,300,36.0,0.12,0.1,42,0.3
damping=0.4,0.9869223004526841,0.8098805881906955,0.013307383900975358,19.461805465060788,0.13901289617900564,0.1859600052483713,132,127,0.0,0.0,300,36.0,0.12,0.1,42,0.4
damping=0.5,0.9871716453158785,0.6074106193182776,0.00965784177080087,15.68368079735598,0.11202629140968556,0.14646860784135957,43,118,0.0,0.0,300,36.0,0.12,0.1,42,0.5
