activeCount,avgRho,condition,entropy,mass,maxFluxAbs,maxRho,param_c_press,param_damping,param_dt,param_rng_seed,rep,rhoMaxId,step,t,totalFlux,vortNorm_global,vortNorm_global_ema
1,0.355589669654789,dt=0.08,0.013804078140281147,49.78255375167046,0.23252317235957248,49.38693637714827,0.1,0.2,0.08,42,0,1,10,0.7999999999999999,2.080931025898353,0.0,0.0
4,0.35446141363274813,dt=0.08,0.041429524415052245,49.62459790858474,0.33376469657195806,48.422601106430626,0.1,0.2,0.08,42,0,1,20,1.6000000000000003,3.995472092845037,0.0,0.0
4,0.3532512631099427,dt=0.08,0.07354820181080844,49.45517683539198,0.3813926881008909,47.28150490286378,0.1,0.2,0.08,42,0,1,30,2.400000000000001,4.9239064834154425,0.0,0.0
4,0.351956616475599,dt=0.08,0.10609876726086326,49.27392630658386,0.40497501609500547,46.061608303471886,0.1,0.2,0.08,42,0,1,40,3.2000000000000015,5.314874300162689,0.0,0.0
4,0.34990634919094293,dt=0.08,0.1355999864882102,48.98688888673201,0.4172949766107127,44.80460371671454,0.1,0.2,0.08,42,0,1,50,4.000000000000002,5.710616850846211,0.0,0.0
5,0.347546669547449,dt=0.08,0.164007559149674,48.656533736642864,0.42523935540881685,43.52816571487439,0.1,0.2,0.08,42,0,1,60,4.8000000000000025,5.996331541782369,0.0,0.0
5,0.3456810176544221,dt=0.08,0.1945018610246044,48.395342471619095,0.43126576201067285,42.239371241800306,0.1,0.2,0.08,42,0,1,70,5.600000000000003,6.125706155391084,0.0,0.0
6,0.3440234017741295,dt=0.08,0.22546944322368045,48.16327624837813,0.43601822575337923,40.941602035388875,0.1,0.2,0.08,42,0,1,80,6.400000000000004,6.214838355092494,0.0,0.0
11,0.3422706640881149,dt=0.08,0.2557740370143012,47.917892972336084,0.4401395900047244,39.63686206515868,0.1,0.2,0.08,42,0,1,90,7.200000000000005,6.327953667088359,0.0,0.0
15,0.33973840573139596,dt=0.08,0.28319669721028884,47.56337680239543,0.44394791030619807,38.3263062212441,0.1,0.2,0.08,42,0,1,100,8.000000000000005,6.403198366260668,0.0,0.0
21,0.33667717413277826,dt=0.08,0.30888724202359497,47.13480437858895,0.4474411827290976,37.01073795682736,0.1,0.2,0.08,42,0,1,110,8.800000000000006,6.498848545558504,0.0,0.0
28,0.3338926092149358,dt=0.08,0.33566358639406946,46.74496529009101,0.45068006513898357,35.69082025967892,0.1,0.2,0.08,42,0,1,120,9.600000000000007,6.611054259876072,0.0,0.0
40,0.33180975298688,dt=0.08,0.3646304169142598,46.453365418163195,0.4536641707418724,34.36715375791051,0.1,0.2,0.08,42,0,1,130,10.400000000000007,6.6432138678483605,0.0,0.0
55,0.32963394842329885,dt=0.08,0.39311970035664845,46.14875277926184,0.45630316945654464,33.040465132888215,0.1,0.2,0.08,42,0,1,140,11.200000000000008,6.688642448483335,0.0,0.0
78,0.3267920162163149,dt=0.08,0.41962811847250925,45.75088227028408,0.4586251809976773,31.71158628230805,0.1,0.2,0.08,42,0,1,150,12.000000000000009,6.728910469548804,0.0,0.0
88,0.3231957435403204,dt=0.08,0.4441520847299191,45.24740409564485,0.46068815254439915,30.381303458834555,0.1,0.2,0.08,42,0,1,160,12.80000000000001,6.785010700914699,0.0,0.0
97,0.31964726345991723,dt=0.08,0.46900092319646053,44.750616884388414,0.46249829607772763,29.050335781227776,0.1,0.2,0.08,42,0,1,170,13.60000000000001,6.854443920678432,0.0,0.0
98,0.3171742610659617,dt=0.08,0.4966761050242261,44.40439654923464,0.46398665673253475,27.719444311924555,0.1,0.2,0.08,42,0,1,180,14.400000000000011,6.86891504303848,0.0,0.0
105,0.31461142693753735,dt=0.08,0.523956248011195,44.04559977125523,0.4650606938747751,26.38955696087417,0.1,0.2,0.08,42,0,1,190,15.200000000000012,6.8785549635177,0.0,0.0
106,0.31172245718714053,dt=0.08,0.5503592895834868,43.641144006199674,0.4657322931803511,25.061722472704453,0.1,0.2,0.08,42,0,1,200,16.00000000000001,6.88607077779933,0.0,0.0
107,0.3076943539730072,dt=0.08,0.5742707850595469,43.07720955622101,0.4660349320102134,23.73697827534794,0.1,0.2,0.08,42,0,1,210,16.799999999999994,6.9061178657267615,0.0,0.0
111,0.3034456634304246,dt=0.08,0.5978539399178603,42.48239288025945,0.4659776923005808,22.41633553789385,0.1,0.2,0.08,42,0,1,220,17.599999999999977,6.941397309260979,0.0,0.0
114,0.30062312838769395,dt=0.08,0.6243789487385605,42.08723797427715,0.46550108646605337,21.100846511218208,0.1,0.2,0.08,42,0,1,230,18.39999999999996,6.941369245560038,0.0,0.0
120,0.29770884780660833,dt=0.08,0.6504764834564417,41.67923869292517,0.4644800475518298,19.79174646944275,0.1,0.2,0.08,42,0,1,240,19.199999999999942,6.914800966151574,0.0,0.0
