condition,entropy,totalFlux,maxFluxAbs,mass,avgRho,maxRho,rhoMaxId,activeCount,vortNorm_global,vortNorm_global_ema,step,t,param_c_press,param_damping,param_rng_seed,param_dt
dt=0.08,0.9884178448789682,0.627540192410013,0.015382331298827353,27.67981271456267,0.19771294796116193,0.23933876938934806,43,127,0.0,0.0,500,39.9999999999995,0.1,0.2,42,0.08
dt=0.1,0.990591968811191,0.1949720447310126,0.011648319393775775,22.501722975711765,0.16072659268365547,0.17716483786036327,22,127,0.0,0.0,500,50.00000000000044,0.1,0.2,42,0.1
dt=0.12,0.9920409310409937,0.08826003857480316,0.008863420327444369,18.352130578984152,0.13108664699274394,0.14243560513083925,58,127,0.0,0.0,500,59.99999999999949,0.1,0.2,42,0.12
dt=0.16,0.9941189560276649,0.03852794349431761,0.005247850854028146,12.252166858230117,0.08751547755878655,0.0935706638213661,138,0,0.0,0.0,500,79.999999999999,0.1,0.2,42,0.16
dt=0.2,0.9955626855983843,0.02320314352455229,0.0030773717309776297,8.16250215580253,0.05830358682716093,0.061973888362613694,31,0,0.0,0.0,500,100.00000000000088,0.1,0.2,42,0.2
