inject_id,damping,inject_amount,final_basin,is_self,n_transitions,lock_in_step,energy_zero_step,rho_tick1,rho_tick2,active_t1,active_t2,active_t3,total_flux_t1,mass_t1,label
89,50.0,200.0,7,False,11,183,55,79.764996,70.460348,1,1,1,9.791832,79.97889,mystery school
90,50.0,200.0,2,False,13,183,56,80.0,71.36,1,1,1,2.50421,80.060101,christine hayes
92,50.0,200.0,2,False,6,183,53,79.951235,71.137187,1,1,1,2.031892,79.995898,plain
104,50.0,200.0,48,False,14,192,54,79.871903,70.852773,1,1,1,5.337363,79.990399,church
126,50.0,200.0,2,False,8,183,53,79.939463,71.084126,1,1,1,2.522389,79.995854,melchizedek
130,50.0,500.0,2,False,8,183,59,199.985447,178.336604,1,1,1,0.60636,199.998989,level
131,50.0,500.0,106,False,1,54,59,199.987221,178.338116,1,1,1,0.532459,200.0,non profitset
2,50.0,500.0,22,False,9,183,62,200.0,178.4,1,1,1,0.480583,200.011534,christ
133,50.0,500.0,2,False,4,183,59,199.985771,178.336325,1,1,1,0.592882,199.998989,stars
4,50.0,500.0,7,False,3,183,59,199.985347,178.33465,1,1,1,0.610558,200.0,osiris
135,50.0,500.0,2,False,6,183,59,199.9855,178.336862,1,1,1,0.604147,199.998989,moon
5,50.0,500.0,67,False,8,183,59,199.984555,178.330269,1,1,1,0.643521,199.992047,earth star
137,50.0,500.0,2,False,8,183,59,199.985616,178.336027,1,1,1,0.599349,199.998989,state
8,50.0,500.0,2,False,4,183,59,199.9855,178.336626,1,1,1,0.604147,199.998989,ark
139,50.0,500.0,7,False,6,183,59,199.984287,178.332073,1,1,1,0.654713,199.996257,sanctuary
140,50.0,500.0,7,False,2,183,59,199.984981,178.334788,1,1,1,0.625774,200.0,dynamic
10,50.0,500.0,136,False,10,183,62,200.0,178.4,1,1,1,0.536892,200.012885,venus
11,50.0,500.0,2,False,4,183,59,199.986357,178.336773,1,1,1,0.568476,199.998989,orion
79,50.0,500.0,7,False,11,183,62,199.732057,177.366145,1,1,1,11.164275,199.972804,par
82,50.0,500.0,7,False,13,183,62,199.699193,177.247369,1,1,1,12.53364,199.969542,johannine grove
89,50.0,500.0,7,False,11,183,62,199.724525,177.337425,1,1,1,11.478118,199.975254,mystery school
90,50.0,500.0,2,False,12,183,67,200.0,178.4,1,1,1,2.935469,200.070451,christine hayes
92,50.0,500.0,2,False,6,183,60,199.942837,178.135942,1,1,1,2.381811,199.995191,plain
104,50.0,500.0,48,False,14,196,61,199.849843,177.800511,1,1,1,6.256529,199.988745,church
126,50.0,500.0,2,False,8,183,61,199.929037,178.073073,1,1,1,2.956779,199.99514,melchizedek
130,50.0,2000.0,2,False,5,183,70,799.982206,713.521657,1,1,1,0.741432,799.998763,level
131,50.0,2000.0,106,False,1,65,71,799.984374,713.523372,1,1,1,0.651068,800.0,non profitset
2,50.0,2000.0,22,False,7,183,80,800.0,713.6,1,1,1,0.587636,800.014103,christ
133,50.0,2000.0,2,False,4,183,70,799.982601,713.521271,1,1,1,0.724951,799.998763,stars
4,50.0,2000.0,7,False,3,184,71,799.982082,713.519205,1,1,1,0.746564,800.0,osiris
135,50.0,2000.0,2,False,4,183,70,799.982271,713.521977,1,1,1,0.738725,799.998763,moon
5,50.0,2000.0,67,False,8,183,67,799.981115,713.513771,1,1,1,0.786871,799.990275,earth star
137,50.0,2000.0,2,False,5,183,70,799.982411,713.520912,1,1,1,0.732858,799.998763,state
8,50.0,2000.0,2,False,4,183,70,799.982271,713.521679,1,1,1,0.738725,799.998763,ark
139,50.0,2000.0,7,False,4,183,69,799.980787,713.516071,1,1,1,0.800556,799.995424,sanctuary
140,50.0,2000.0,7,False,2,183,71,799.981636,713.519417,1,1,1,0.76517,800.0,dynamic
10,50.0,2000.0,136,False,8,183,81,800.0,713.6,1,1,1,0.656489,800.015756,venus
11,50.0,2000.0,2,False,4,183,70,799.983317,713.521773,1,1,1,0.695109,799.998763,orion
79,50.0,2000.0,7,False,10,183,71,799.672371,712.325615,1,1,1,13.651203,799.966746,par
82,50.0,2000.0,7,False,10,183,72,799.632186,712.179422,1,1,1,15.325603,799.962757,johannine grove
89,50.0,2000.0,7,False,10,183,72,799.663161,712.290221,1,1,1,14.034957,799.969742,mystery school
90,50.0,2000.0,2,False,12,183,80,800.0,713.6,1,1,1,3.589367,800.086145,christine hayes
92,50.0,2000.0,2,False,4,183,71,799.930103,713.273317,1,1,1,2.912378,799.99412,plain
104,50.0,2000.0,7,False,12,183,72,799.816395,712.860493,1,1,1,7.650219,799.986238,church
126,50.0,2000.0,2,False,8,183,71,799.91323,713.195557,1,1,1,3.615423,799.994057,melchizedek
